"year","type","areaType","areaId","areaLabel","value"
"2021","record","neighborhood","71","Provençals del Poblenou",91.4942812348818
"2015","record","neighborhood","72","Sant Martí de Provençals",87.2226906616232
"2016","record","neighborhood","72","Sant Martí de Provençals",84.9758596240757
"2017","record","neighborhood","72","Sant Martí de Provençals",84.4848590116092
"2018","record","neighborhood","72","Sant Martí de Provençals",83.8874457693124
"2019","record","neighborhood","72","Sant Martí de Provençals",83.4466462374128
"2020","record","neighborhood","72","Sant Martí de Provençals",84.0098166121542
"2021","record","neighborhood","72","Sant Martí de Provençals",86.2822181591181
"2015","record","neighborhood","73","la Verneda i la Pau",79.0210009887922
"2016","record","neighborhood","73","la Verneda i la Pau",77.1616127025163
"2017","record","neighborhood","73","la Verneda i la Pau",75.9650975416442
"2018","record","neighborhood","73","la Verneda i la Pau",75.5941321466766
"2019","record","neighborhood","73","la Verneda i la Pau",75.1059333450688
"2020","record","neighborhood","73","la Verneda i la Pau",76.0582444567109
"2021","record","neighborhood","73","la Verneda i la Pau",78.4482053571057
"2015","global","","","",100
"2016","global","","","",100
"2017","global","","","",100
"2018","global","","","",100
"2019","global","","","",100
"2020","global","","","",100
"2021","global","","","",100
