any,tipus_de_territori,territori,renda,preu_lloguer,poblacio_total,Espanya,No consta,Resta de la Unió Europea,Resta del món,Educació primària o inferior,Educació superior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,atur,num_contractes,superficie_mitja,hut,territori_id,pct_ue,pct_mon,indicador_socio,indicador_housing,indicador_demo,indicador_turisme,indicador_global_pca,indicador_gentrificacio,cluster,cluster_label,pc1,pc2,creixement,categoria_gentrificacio
2000,Barri,baro de viver,,,2368,2351.0,0.0,0.0,16.0,,,,,,,,,0,-1.1023330995454166,-1.474730076918156,0.0033723453127869,3.6921966638804284e-16,-1.2885315882317865,1.0092936587501425e-17,-1.0393119026279436,-0.2566946140525211,0,Intermedi,-0.8998554621829444,0.9236523687387432,-0.44869075211464865,Desgentrificació
2001,Barri,baro de viver,,,2373,2354.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,,,,,0,-1.1023330995454166,-1.4638348987621672,0.0033723453127869,3.6921966638804284e-16,-1.283083999153792,1.0092936587501425e-17,-1.0349179520091971,-0.2556050962369222,0,Intermedi,-0.8960510984930419,0.919747397683505,-0.44869075211464865,Desgentrificació
2002,Barri,baro de viver,,,2393,2363.0,0.0,0.0,26.0,,,,,,,,,0,-1.1023330995454166,-1.4207094798346604,0.0033723453127869,3.6921966638804284e-16,-1.2615212896900383,1.0092936587501425e-17,-1.0175257663590649,-0.2512925543441715,0,Intermedi,-0.8809926225754673,0.9042906965404992,-0.44869075211464865,Desgentrificació
2003,Barri,baro de viver,,,2382,2334.0,0.0,6.0,41.0,,,,,,,,,0,-1.0314720900155137,-1.337245918642461,0.0033723453127869,3.6921966638804284e-16,-1.184359004328987,1.0092936587501425e-17,-0.9552877255208384,-0.2358600972719612,0,Intermedi,-0.8271057760357216,0.8489787986390803,-0.44869075211464865,Desgentrificació
2004,Barri,baro de viver,,,2365,2301.0,0.0,0.0,60.0,,,,,,,,,0,-1.1023330995454166,-1.2299802685973429,0.0033723453127869,3.6921966638804284e-16,-1.1661566840713795,1.0092936587501425e-17,-0.9406059837056162,-0.2322196332204397,0,Intermedi,-0.8143940525065464,0.8359309103482299,-0.44869075211464865,Desgentrificació
2005,Barri,baro de viver,,,2382,2300.0,0.0,5.0,77.0,,,,,,,,,0,-1.0432822582704977,-1.1385167826433016,0.0033723453127869,3.6921966638804284e-16,-1.0908995204568996,1.0092936587501425e-17,-0.8799045879331767,-0.2171682004975437,0,Intermedi,-0.7618376616773419,0.7819846523969894,-0.44869075211464865,Desgentrificació
2006,Barri,baro de viver,,,2421,2302.0,0.0,11.0,108.0,,,,,,,,,0,-0.9745140047015152,-0.9769929258228368,0.0033723453127869,3.6921966638804284e-16,-0.975753465262176,1.0092936587501425e-17,-0.7870293594191797,-0.1941389894585989,0,Intermedi,-0.6814245715660017,0.6994450176663607,-0.44869075211464865,Desgentrificació
2007,Barri,baro de viver,,,2417,2287.0,0.0,13.0,117.0,,,,,,,,,0,-0.9510241751830548,-0.9270593163572473,0.0033723453127869,3.6921966638804284e-16,-0.939041745770151,1.0092936587501425e-17,-0.7574181900986366,-0.186796645560194,0,Intermedi,-0.655786673657453,0.6731291190271871,-0.44869075211464865,Desgentrificació
2008,Barri,baro de viver,,,2458,2279.0,0.0,19.0,160.0,,,,,,,,,0,-0.8848780161914471,-0.7076450298860607,0.0033723453127869,3.6921966638804284e-16,-0.796261523038754,1.0092936587501425e-17,-0.6422536211428648,-0.1582406010139146,0,Intermedi,-0.5560750604614921,0.5707806068608114,-0.44869075211464865,Desgentrificació
2009,Barri,baro de viver,,,2452,2278.0,0.0,17.0,157.0,,,,,,,,,0,-0.907291927719432,-0.7216385640353132,0.0033723453127869,3.6921966638804284e-16,-0.8144652458773727,1.0092936587501425e-17,-0.6569364942606896,-0.1618813455816383,0,Intermedi,-0.5687877634933785,0.5838295005575713,-0.44869075211464865,Desgentrificació
2010,Barri,baro de viver,,,2392,2222.0,0.0,16.0,154.0,,,,,,,,,0,-0.9141603852753736,-0.7170112512954003,0.0033723453127869,3.6921966638804284e-16,-0.815585818285387,1.0092936587501425e-17,-0.6578403325926655,-0.1621054600632412,0,Intermedi,-0.5695703234331831,0.5846327554940111,-0.44869075211464865,Desgentrificació
2011,Barri,baro de viver,,,2411,2244.0,0.0,18.0,149.0,0.0,0.0,0.0,0.0,1700.0,,,,0,-0.8923070630042779,-0.750951922745222,0.0033723453127869,3.6921966638804284e-16,-0.82162949287475,1.0092936587501425e-17,-0.6627150776076127,-0.1633141949811138,0,Intermedi,-0.5737909678012095,0.5889650158757777,-0.44869075211464865,Desgentrificació
2012,Barri,baro de viver,,,2411,2227.0,0.0,23.0,161.0,,,,,1830.0,,,,0,-0.833966497298406,-0.6855056622793023,0.0033723453127869,3.6921966638804284e-16,-0.7597360797888542,1.0092936587501425e-17,-0.6127926996838298,-0.1509355123639346,0,Intermedi,-0.5305672499295216,0.5445982357919745,-0.44869075211464865,Desgentrificació
2013,Barri,baro de viver,,,2416,2210.0,0.0,25.0,181.0,,,,,1880.0,,,,0,-0.8112339606446362,-0.5784714997519987,0.0033723453127869,3.6921966638804284e-16,-0.6948527301983174,1.0092936587501425e-17,-0.5604586799921957,-0.1379588424458273,0,Intermedi,-0.4852554880239475,0.4980881928187611,-0.44869075211464865,Desgentrificació
