any,tipus_de_territori,territori,renda,preu_lloguer,poblacio_total,Espanya,No consta,Resta de la Unió Europea,Resta del món,Educació primària o inferior,Educació superior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,atur,num_contractes,superficie_mitja,hut,territori_id
2022,Barri,can baro,,137.0,9271,7566.0,0.0,563.0,1141.0,953.0,3596.0,1598.0,1878.0,3220.0,2390.0,61.8,20.0,1
2023,Barri,can baro,,150.0,9421,7526.0,0.0,535.0,1359.0,949.0,3781.0,1565.0,1948.0,3120.0,1770.0,62.4,200.0,1
2024,Barri,can baro,,157.0,9525,7577.0,0.0,566.0,1381.0,,,,,3320.0,1620.0,61.0,250.0,1
2025,Barri,can baro,,160.0,9672,7548.0,0.0,615.0,1508.0,,,,,3200.0,1580.0,56.2,,1
2000,Barri,can peguera,,,2244,2211.0,,0.0,33.0,,,,,,,,,2
2001,Barri,can peguera,,,2185,2154.0,,0.0,31.0,0.0,0.0,0.0,0.0,,,,,2
2002,Barri,can peguera,,,2150,2114.0,,0.0,36.0,,,,,,,,,2
2003,Barri,can peguera,,,2125,2077.0,,0.0,48.0,,,,,,,,,2
2004,Barri,can peguera,,,2105,2056.0,,0.0,49.0,,,,,,,,,2
2005,Barri,can peguera,,,2120,2057.0,,0.0,62.0,,,,,,,,,2
2006,Barri,can peguera,,,2128,2060.0,,0.0,66.0,,,,,,,,,2
2007,Barri,can peguera,,,2138,2057.0,,14.0,67.0,,,,,,,,,2
2008,Barri,can peguera,,,2145,2070.0,,12.0,63.0,,,,,,,,,2
2009,Barri,can peguera,,,2161,2079.0,,16.0,66.0,,,,,,,,,2
2010,Barri,can peguera,,,2215,2132.0,,20.0,63.0,,,,,,,,,2
2011,Barri,can peguera,,,2240,2142.0,,23.0,75.0,0.0,0.0,0.0,0.0,1480.0,,,,2
2012,Barri,can peguera,,,2238,2127.0,,22.0,89.0,,,,,1670.0,,,,2
2013,Barri,can peguera,,,2229,2109.0,,19.0,101.0,,,,,1720.0,,,,2
2014,Barri,can peguera,,53.0,2261,2122.0,,25.0,114.0,,,,,1680.0,330.0,41.8,,2
2015,Barri,can peguera,60.3440976884801,58.0,2275,2113.0,,32.0,130.0,,,,,1570.0,110.0,45.2,,2
2016,Barri,can peguera,59.7325506803197,81.0,2255,2095.0,,27.0,133.0,,,,,1410.0,180.0,50.8,,2
2017,Barri,can peguera,59.836262310508,112.0,2273,2096.0,,27.0,150.0,,,,,1230.0,140.0,48.7,,2
2018,Barri,can peguera,60.8855416669999,81.0,2270,2065.0,,24.0,181.0,,,,,1180.0,70.0,55.5,,2
2019,Barri,can peguera,58.9120973275518,119.0,2289,2045.0,,26.0,218.0,,,,,1090.0,70.0,55.3,,2
2020,Barri,can peguera,59.044673436265,,2274,2015.0,,26.0,233.0,,,,,1090.0,60.0,,,2
2021,Barri,can peguera,62.5181418830408,,2215,1968.0,,25.0,222.0,375.0,441.0,687.0,459.0,1460.0,50.0,46.7,,2
2022,Barri,can peguera,,,2187,1963.0,,29.0,195.0,344.0,445.0,707.0,424.0,1040.0,50.0,52.0,,2
2023,Barri,can peguera,,,2170,1971.0,,21.0,178.0,321.0,444.0,699.0,439.0,1010.0,20.0,52.0,,2
2024,Barri,can peguera,,125.0,2180,1963.0,,28.0,189.0,,,,,1050.0,110.0,54.0,,2
2025,Barri,can peguera,,84.0,2170,1935.0,,31.0,204.0,,,,,1040.0,150.0,46.8,,2
2000,Barri,canyelles,,,8385,8346.0,0.0,10.0,29.0,,,,,,,,,3
2001,Barri,canyelles,,,8159,8103.0,0.0,9.0,47.0,0.0,0.0,0.0,0.0,,,,,3
2002,Barri,canyelles,,,8185,8059.0,0.0,14.0,111.0,,,,,,,,,3
2003,Barri,canyelles,,,8052,7843.0,0.0,22.0,186.0,,,,,,,,,3
2004,Barri,canyelles,,,7874,7651.0,0.0,25.0,198.0,,,,,,,,,3
2005,Barri,canyelles,,,7722,7450.0,0.0,28.0,244.0,,,,,,,,,3
2006,Barri,canyelles,,,7594,7267.0,0.0,35.0,292.0,,,,,,,,,3
2007,Barri,canyelles,,,7511,7135.0,0.0,47.0,329.0,,,,,,,,,3
2008,Barri,canyelles,,,7471,7060.0,0.0,53.0,358.0,,,,,,,,,3
2009,Barri,canyelles,,,7440,7025.0,0.0,53.0,362.0,,,,,,,,,3
2010,Barri,canyelles,,,7305,6965.0,0.0,54.0,286.0,,,,,,,,,3
2011,Barri,canyelles,,,7239,6872.0,0.0,59.0,308.0,0.0,0.0,0.0,0.0,6170.0,,,,3
2012,Barri,canyelles,,,7193,6804.0,0.0,56.0,333.0,,,,,6710.0,,,,3
2013,Barri,canyelles,,,7108,6742.0,0.0,65.0,301.0,,,,,6940.0,,,,3
2014,Barri,canyelles,,70.0,6980,6648.0,0.0,72.0,260.0,,,,,6660.0,390.0,78.7,1.0,3
2015,Barri,canyelles,83.9058239012464,72.0,6952,6673.0,0.0,58.0,221.0,,,,,6200.0,210.0,79.7,1.0,3
2016,Barri,canyelles,81.8775472799271,80.0,6925,6628.0,0.0,50.0,247.0,,,,,5470.0,380.0,78.6,1.0,3
2017,Barri,canyelles,79.7622143573246,86.0,6863,6560.0,0.0,50.0,253.0,,,,,4950.0,470.0,79.9,1.0,3
2018,Barri,canyelles,80.264993453031,95.0,6885,6562.0,0.0,52.0,271.0,,,,,4750.0,340.0,79.6,1.0,3
2019,Barri,canyelles,79.9944047075898,95.0,6884,6477.0,0.0,63.0,344.0,,,,,4370.0,510.0,80.6,1.0,3
2020,Barri,canyelles,81.2966302404576,97.0,6869,6408.0,0.0,74.0,387.0,,,,,4320.0,540.0,80.9,1.0,3
2021,Barri,canyelles,83.8935657712281,94.0,6813,6364.0,0.0,72.0,377.0,1170.0,1596.0,1950.0,1350.0,5670.0,390.0,81.5,1.0,3
2022,Barri,canyelles,,97.0,6787,6301.0,0.0,73.0,413.0,1103.0,1625.0,1956.0,1386.0,4100.0,400.0,83.7,1.0,3
2023,Barri,canyelles,,108.0,6786,6252.0,0.0,66.0,467.0,1062.0,1680.0,1933.0,1418.0,3550.0,430.0,78.5,10.0,3
2024,Barri,canyelles,,103.0,6797,6211.0,0.0,59.0,526.0,,,,,3660.0,340.0,86.1,20.0,3
2025,Barri,canyelles,,100.0,6817,6208.0,0.0,56.0,552.0,,,,,3660.0,360.0,80.7,,3
2000,Barri,ciutat meridiana,,,9712,9603.0,0.0,13.0,92.0,,,,,,,,,4
2001,Barri,ciutat meridiana,,,9624,9391.0,0.0,23.0,208.0,0.0,0.0,0.0,0.0,,,,,4
2002,Barri,ciutat meridiana,,,9613,9100.0,0.0,27.0,483.0,,,,,,,,,4
2003,Barri,ciutat meridiana,,,9890,8731.0,0.0,34.0,1123.0,,,,,,,,,4
2004,Barri,ciutat meridiana,,,10116,8364.0,0.0,43.0,1708.0,,,,,,,,,4
2005,Barri,ciutat meridiana,,,10283,7882.0,0.0,54.0,2345.0,,,,,,,,,4
2006,Barri,ciutat meridiana,,,10498,7497.0,0.0,64.0,2936.0,,,,,,,,,4
2007,Barri,ciutat meridiana,,,10652,7224.0,0.0,128.0,3297.0,,,,,,,,,4
2008,Barri,ciutat meridiana,,,11139,7069.0,0.0,211.0,3857.0,,,,,,,,,4
2009,Barri,ciutat meridiana,,,11231,6998.0,0.0,226.0,4006.0,,,,,,,,,4
2010,Barri,ciutat meridiana,,,10860,7005.0,0.0,220.0,3634.0,,,,,,,,,4
2011,Barri,ciutat meridiana,,,10886,6992.0,0.0,267.0,3627.0,0.0,0.0,0.0,0.0,1232.0,,,,4
2012,Barri,ciutat meridiana,,,10745,6931.0,0.0,277.0,3537.0,,,,,1334.0,,,,4
2013,Barri,ciutat meridiana,,,10494,7047.0,0.0,205.0,3242.0,,,,,1378.0,,,,4
2014,Barri,ciutat meridiana,,64.0,10174,7136.0,0.0,196.0,2842.0,,,,,133.0,1460.0,58.8,,4
2015,Barri,ciutat meridiana,51.5549667236273,66.0,10239,7373.0,0.0,197.0,2669.0,,,,,127.0,1150.0,60.8,,4
2016,Barri,ciutat meridiana,48.4971711627413,70.0,10055,7304.0,0.0,187.0,2564.0,,,,,1162.0,1220.0,58.5,,4
2017,Barri,ciutat meridiana,48.643511928649,76.0,10369,7419.0,0.0,183.0,2767.0,,,,,9810.0,1270.0,58.5,,4
2018,Barri,ciutat meridiana,49.578034554258,87.0,10622,7429.0,0.0,172.0,3021.0,,,,,9770.0,1420.0,58.6,,4
2019,Barri,ciutat meridiana,47.8075973832353,97.0,10864,7431.0,0.0,190.0,3243.0,,,,,9080.0,1260.0,59.3,,4
2020,Barri,ciutat meridiana,47.5096695277452,92.0,11091,7456.0,0.0,201.0,3434.0,,,,,9170.0,920.0,58.6,,4
2021,Barri,ciutat meridiana,50.4973914039935,89.0,11152,7436.0,0.0,189.0,3527.0,2184.0,1512.0,3321.0,2037.0,1236.0,1150.0,59.5,,4
2022,Barri,ciutat meridiana,,97.0,10808,7422.0,0.0,182.0,3204.0,1979.0,1516.0,3307.0,2023.0,8840.0,1040.0,58.6,,4
2023,Barri,ciutat meridiana,,104.0,10857,7483.0,0.0,179.0,3195.0,1935.0,1576.0,3318.0,2137.0,7850.0,1130.0,59.1,,4
2024,Barri,ciutat meridiana,,107.0,11090,7644.0,0.0,166.0,3280.0,,,,,8010.0,860.0,59.3,,4
2025,Barri,ciutat meridiana,,102.0,11351,7821.0,0.0,168.0,3362.0,,,,,7830.0,710.0,59.4,,4
2000,Barri,diagonal mar i el front maritim del poblenou,,,4267,4208.0,0.0,11.0,48.0,,,,,,,,,5
2001,Barri,diagonal mar i el front maritim del poblenou,,,4963,4879.0,0.0,22.0,62.0,0.0,0.0,0.0,0.0,,,,,5
2002,Barri,diagonal mar i el front maritim del poblenou,,,6185,5958.0,0.0,52.0,175.0,,,,,,,,,5
2003,Barri,diagonal mar i el front maritim del poblenou,,,7243,6793.0,0.0,106.0,344.0,,,,,,,,,5
2004,Barri,diagonal mar i el front maritim del poblenou,,,8131,7476.0,0.0,194.0,459.0,,,,,,,,,5
2005,Barri,diagonal mar i el front maritim del poblenou,,,8865,7937.0,0.0,302.0,624.0,,,,,,,,,5
2006,Barri,diagonal mar i el front maritim del poblenou,,,9284,8114.0,6.0,396.0,768.0,,,,,,,,,5
2007,Barri,diagonal mar i el front maritim del poblenou,,,9639,8399.0,0.0,516.0,722.0,,,,,,,,,5
2008,Barri,diagonal mar i el front maritim del poblenou,,,9964,8539.0,0.0,638.0,785.0,,,,,,,,,5
2009,Barri,diagonal mar i el front maritim del poblenou,,,10691,8998.0,0.0,744.0,949.0,,,,,,,,,5
2010,Barri,diagonal mar i el front maritim del poblenou,,,11264,9469.0,0.0,845.0,950.0,,,,,,,,,5
2011,Barri,diagonal mar i el front maritim del poblenou,,,12003,10137.0,0.0,853.0,1012.0,0.0,0.0,0.0,0.0,9100.0,,,,5
2012,Barri,diagonal mar i el front maritim del poblenou,,,12515,10495.0,0.0,906.0,1113.0,,,,,9560.0,,,,5
2013,Barri,diagonal mar i el front maritim del poblenou,,,12928,10706.0,0.0,1020.0,1202.0,,,,,1016.0,,,,5
2014,Barri,diagonal mar i el front maritim del poblenou,,112.0,13168,10944.0,0.0,1085.0,1137.0,,,,,9890.0,1820.0,92.6,145.0,5
2015,Barri,diagonal mar i el front maritim del poblenou,115.102242508889,125.0,13374,11131.0,0.0,1088.0,1153.0,,,,,9410.0,2340.0,116.5,145.0,5
2016,Barri,diagonal mar i el front maritim del poblenou,114.777913364749,139.0,13416,11163.0,0.0,1054.0,1197.0,,,,,8000.0,3370.0,129.6,129.0,5
2017,Barri,diagonal mar i el front maritim del poblenou,111.680756837077,160.0,13670,11150.0,0.0,1125.0,1393.0,,,,,7050.0,3940.0,94.4,129.0,5
2018,Barri,diagonal mar i el front maritim del poblenou,112.620758996731,153.0,13644,11017.0,0.0,1100.0,1526.0,,,,,6670.0,4130.0,72.9,128.0,5
2019,Barri,diagonal mar i el front maritim del poblenou,114.881726475523,173.0,13625,10919.0,0.0,1190.0,1516.0,,,,,6250.0,3210.0,92.5,128.0,5
2020,Barri,diagonal mar i el front maritim del poblenou,116.923139551846,167.0,13526,10745.0,0.0,1214.0,1565.0,,,,,6310.0,3200.0,82.7,127.0,5
2021,Barri,diagonal mar i el front maritim del poblenou,112.800164125994,157.0,13536,10601.0,0.0,1186.0,1747.0,1143.0,6021.0,1581.0,2163.0,8620.0,4330.0,84.8,126.0,5
2022,Barri,diagonal mar i el front maritim del poblenou,,172.0,13391,10477.0,0.0,1269.0,1643.0,1130.0,6170.0,1597.0,2135.0,6210.0,2920.0,82.0,125.0,5
2023,Barri,diagonal mar i el front maritim del poblenou,,188.0,13453,10316.0,0.0,1242.0,1893.0,1089.0,6400.0,1590.0,2163.0,6550.0,6150.0,79.6,1250.0,5
2024,Barri,diagonal mar i el front maritim del poblenou,,196.0,13494,10240.0,0.0,1254.0,1998.0,,,,,6750.0,2430.0,79.9,1280.0,5
2025,Barri,diagonal mar i el front maritim del poblenou,,224.0,13691,10225.0,0.0,1330.0,2133.0,,,,,6710.0,2080.0,86.2,,5
2000,Barri,el baix guinardo,,,24761,24143.0,5.0,115.0,498.0,,,,,,,,,6
2001,Barri,el baix guinardo,,,24847,23825.0,9.0,139.0,874.0,0.0,0.0,0.0,0.0,,,,,6
2002,Barri,el baix guinardo,,,25455,23811.0,17.0,194.0,1433.0,,,,,,,,,6
2003,Barri,el baix guinardo,,,25512,23365.0,20.0,255.0,1872.0,,,,,,,,,6
2004,Barri,el baix guinardo,,,25480,22929.0,0.0,335.0,2212.0,,,,,,,,,6
2005,Barri,el baix guinardo,,,25482,22625.0,5.0,468.0,2384.0,,,,,,,,,6
2006,Barri,el baix guinardo,,,25857,22620.0,6.0,528.0,2703.0,,,,,,,,,6
2007,Barri,el baix guinardo,,,25741,22542.0,0.0,756.0,2439.0,,,,,,,,,6
2008,Barri,el baix guinardo,,,25997,22436.0,0.0,869.0,2690.0,,,,,,,,,6
2009,Barri,el baix guinardo,,,26110,22312.0,0.0,957.0,2840.0,,,,,,,,,6
