territori,tipus_de_territori,any,atur
baro de viver,Barri,2007,
el bon pastor,Barri,2007,
sant andreu,Barri,2007,
la sagrera,Barri,2007,
el congres i els indians,Barri,2007,
navas,Barri,2007,
el camp de larpa del clot,Barri,2007,
el clot,Barri,2007,
el parc i la llacuna del poblenou,Barri,2007,
la vila olimpica del poblenou,Barri,2007,
el poblenou,Barri,2007,
diagonal mar i el front maritim del poblenou,Barri,2007,
el besos i el maresme,Barri,2007,
provencals del poblenou,Barri,2007,
sant marti de provencals,Barri,2007,
la verneda i la pau,Barri,2007,
no consta,Barri,2007,
el raval,Barri,2008,
el barri gotic,Barri,2008,
la barceloneta,Barri,2008,
sant pere santa caterina i la ribera,Barri,2008,
el fort pienc,Barri,2008,
la sagrada familia,Barri,2008,
la dreta de leixample,Barri,2008,
lantiga esquerra de leixample,Barri,2008,
la nova esquerra de leixample,Barri,2008,
sant antoni,Barri,2008,
el poble sec,Barri,2008,
la marina del prat vermell,Barri,2008,
la marina de port,Barri,2008,
la font de la guatlla,Barri,2008,
hostafrancs,Barri,2008,
la bordeta,Barri,2008,
sants badal,Barri,2008,
sants,Barri,2008,
les corts,Barri,2008,
la maternitat i sant ramon,Barri,2008,
pedralbes,Barri,2008,
vallvidrera el tibidabo i les planes,Barri,2008,
sarria,Barri,2008,
les tres torres,Barri,2008,
sant gervasi la bonanova,Barri,2008,
sant gervasi galvany,Barri,2008,
el putxet i el farro,Barri,2008,
vallcarca i els penitents,Barri,2008,
el coll,Barri,2008,
la salut,Barri,2008,
la vila de gracia,Barri,2008,
el camp den grassot i gracia nova,Barri,2008,
el baix guinardo,Barri,2008,
can baro,Barri,2008,
el guinardo,Barri,2008,
la font den fargues,Barri,2008,
el carmel,Barri,2008,
la teixonera,Barri,2008,
sant genis dels agudells,Barri,2008,
montbau,Barri,2008,
la vall dhebron,Barri,2008,
la clota,Barri,2008,
horta,Barri,2008,
vilapicina i la torre llobeta,Barri,2008,
porta,Barri,2008,
el turo de la peira,Barri,2008,
can peguera,Barri,2008,
la guineueta,Barri,2008,
canyelles,Barri,2008,
les roquetes,Barri,2008,
verdun,Barri,2008,
la prosperitat,Barri,2008,
la trinitat nova,Barri,2008,
torre baro,Barri,2008,
ciutat meridiana,Barri,2008,
