territori,tipus_de_territori,any,atur
el congres i els indians,Barri,2015,8720.0
navas,Barri,2015,134.0
el camp de larpa del clot,Barri,2015,2507.0
el clot,Barri,2015,1737.0
el parc i la llacuna del poblenou,Barri,2015,8480.0
la vila olimpica del poblenou,Barri,2015,5540.0
el poblenou,Barri,2015,1911.0
diagonal mar i el front maritim del poblenou,Barri,2015,9410.0
el besos i el maresme,Barri,2015,2153.0
provencals del poblenou,Barri,2015,1389.0
sant marti de provencals,Barri,2015,1909.0
la verneda i la pau,Barri,2015,2159.0
no consta,Barri,2015,40.0
el raval,Barri,2016,3977.0
el barri gotic,Barri,2016,1051.0
la barceloneta,Barri,2016,1223.0
sant pere santa caterina i la ribera,Barri,2016,1691.0
el fort pienc,Barri,2016,1479.0
la sagrada familia,Barri,2016,2479.0
la dreta de leixample,Barri,2016,1669.0
lantiga esquerra de leixample,Barri,2016,1804.0
la nova esquerra de leixample,Barri,2016,2684.0
sant antoni,Barri,2016,1927.0
el poble sec,Barri,2016,2802.0
la marina del prat vermell,Barri,2016,1510.0
la marina de port,Barri,2016,2097.0
la font de la guatlla,Barri,2016,7060.0
hostafrancs,Barri,2016,8570.0
la bordeta,Barri,2016,1005.0
sants badal,Barri,2016,1127.0
sants,Barri,2016,2093.0
les corts,Barri,2016,2147.0
la maternitat i sant ramon,Barri,2016,1114.0
pedralbes,Barri,2016,2590.0
vallvidrera el tibidabo i les planes,Barri,2016,1040.0
sarria,Barri,2016,5540.0
les tres torres,Barri,2016,4050.0
sant gervasi la bonanova,Barri,2016,6910.0
sant gervasi galvany,Barri,2016,1274.0
el putxet i el farro,Barri,2016,1179.0
vallcarca i els penitents,Barri,2016,7530.0
el coll,Barri,2016,3160.0
la salut,Barri,2016,6190.0
la vila de gracia,Barri,2016,2463.0
el camp den grassot i gracia nova,Barri,2016,1615.0
el baix guinardo,Barri,2016,1247.0
can baro,Barri,2016,4430.0
el guinardo,Barri,2016,2031.0
la font den fargues,Barri,2016,6070.0
el carmel,Barri,2016,2068.0
la teixonera,Barri,2016,6190.0
sant genis dels agudells,Barri,2016,3720.0
montbau,Barri,2016,2690.0
la vall dhebron,Barri,2016,2870.0
la clota,Barri,2016,200.0
horta,Barri,2016,175.0
vilapicina i la torre llobeta,Barri,2016,1642.0
porta,Barri,2016,1608.0
el turo de la peira,Barri,2016,1021.0
can peguera,Barri,2016,1410.0
la guineueta,Barri,2016,1122.0
canyelles,Barri,2016,5470.0
les roquetes,Barri,2016,1187.0
verdun,Barri,2016,9100.0
la prosperitat,Barri,2016,1811.0
la trinitat nova,Barri,2016,8050.0
torre baro,Barri,2016,2230.0
ciutat meridiana,Barri,2016,1162.0
vallbona,Barri,2016,1350.0
la trinitat vella,Barri,2016,1077.0
baro de viver,Barri,2016,1520.0
el bon pastor,Barri,2016,8650.0
sant andreu,Barri,2016,3497.0
la sagrera,Barri,2016,1593.0
el congres i els indians,Barri,2016,7750.0
navas,Barri,2016,1197.0
el camp de larpa del clot,Barri,2016,2276.0
el clot,Barri,2016,1564.0
el parc i la llacuna del poblenou,Barri,2016,7600.0
la vila olimpica del poblenou,Barri,2016,4960.0
el poblenou,Barri,2016,1711.0
diagonal mar i el front maritim del poblenou,Barri,2016,8000.0
el besos i el maresme,Barri,2016,1834.0
provencals del poblenou,Barri,2016,124.0
sant marti de provencals,Barri,2016,173.0
la verneda i la pau,Barri,2016,1959.0
no consta,Barri,2016,40.0
el raval,Barri,2017,3559.0
el barri gotic,Barri,2017,9490.0
la barceloneta,Barri,2017,1062.0
sant pere santa caterina i la ribera,Barri,2017,1466.0
el fort pienc,Barri,2017,1368.0
la sagrada familia,Barri,2017,2239.0
la dreta de leixample,Barri,2017,1466.0
lantiga esquerra de leixample,Barri,2017,1576.0
la nova esquerra de leixample,Barri,2017,2359.0
sant antoni,Barri,2017,1728.0
el poble sec,Barri,2017,2492.0
la marina del prat vermell,Barri,2017,1250.0
la marina de port,Barri,2017,1844.0
la font de la guatlla,Barri,2017,6270.0
hostafrancs,Barri,2017,7660.0
la bordeta,Barri,2017,8990.0
sants badal,Barri,2017,9650.0
sants,Barri,2017,1836.0
les corts,Barri,2017,1864.0
la maternitat i sant ramon,Barri,2017,9540.0
pedralbes,Barri,2017,2270.0
vallvidrera el tibidabo i les planes,Barri,2017,930.0
sarria,Barri,2017,4890.0
les tres torres,Barri,2017,3620.0
sant gervasi la bonanova,Barri,2017,6060.0
sant gervasi galvany,Barri,2017,1154.0
el putxet i el farro,Barri,2017,1057.0
vallcarca i els penitents,Barri,2017,6850.0
el coll,Barri,2017,2880.0
la salut,Barri,2017,5540.0
la vila de gracia,Barri,2017,2185.0
el camp den grassot i gracia nova,Barri,2017,1433.0
el baix guinardo,Barri,2017,1107.0
can baro,Barri,2017,3950.0
el guinardo,Barri,2017,18.0
la font den fargues,Barri,2017,5400.0
el carmel,Barri,2017,1839.0
la teixonera,Barri,2017,5580.0
sant genis dels agudells,Barri,2017,3370.0
montbau,Barri,2017,2440.0
la vall dhebron,Barri,2017,2600.0
la clota,Barri,2017,180.0
horta,Barri,2017,1525.0
vilapicina i la torre llobeta,Barri,2017,1418.0
porta,Barri,2017,1402.0
el turo de la peira,Barri,2017,8760.0
can peguera,Barri,2017,1230.0
la guineueta,Barri,2017,1015.0
canyelles,Barri,2017,4950.0
les roquetes,Barri,2017,1074.0
verdun,Barri,2017,8230.0
la prosperitat,Barri,2017,1578.0
la trinitat nova,Barri,2017,6830.0
torre baro,Barri,2017,1880.0
ciutat meridiana,Barri,2017,9810.0
vallbona,Barri,2017,1140.0
la trinitat vella,Barri,2017,9090.0
baro de viver,Barri,2017,1320.0
el bon pastor,Barri,2017,7490.0
sant andreu,Barri,2017,303.0
la sagrera,Barri,2017,139.0
el congres i els indians,Barri,2017,6770.0
navas,Barri,2017,1046.0
el camp de larpa del clot,Barri,2017,2021.0
el clot,Barri,2017,1376.0
el parc i la llacuna del poblenou,Barri,2017,6710.0
la vila olimpica del poblenou,Barri,2017,4510.0
el poblenou,Barri,2017,1549.0
diagonal mar i el front maritim del poblenou,Barri,2017,7050.0
el besos i el maresme,Barri,2017,1612.0
provencals del poblenou,Barri,2017,1085.0
sant marti de provencals,Barri,2017,151.0
la verneda i la pau,Barri,2017,1709.0
no consta,Barri,2017,80.0
el raval,Barri,2018,3483.0
el barri gotic,Barri,2018,9240.0
la barceloneta,Barri,2018,1049.0
sant pere santa caterina i la ribera,Barri,2018,1446.0
el fort pienc,Barri,2018,1276.0
la sagrada familia,Barri,2018,2077.0
la dreta de leixample,Barri,2018,134.0
lantiga esquerra de leixample,Barri,2018,1504.0
la nova esquerra de leixample,Barri,2018,2226.0
sant antoni,Barri,2018,1636.0
el poble sec,Barri,2018,235.0
la marina del prat vermell,Barri,2018,1130.0
la marina de port,Barri,2018,1754.0
la font de la guatlla,Barri,2018,5920.0
hostafrancs,Barri,2018,7350.0
la bordeta,Barri,2018,8620.0
sants badal,Barri,2018,8900.0
sants,Barri,2018,1733.0
les corts,Barri,2018,1755.0
la maternitat i sant ramon,Barri,2018,8800.0
pedralbes,Barri,2018,2300.0
vallvidrera el tibidabo i les planes,Barri,2018,920.0
sarria,Barri,2018,4920.0
les tres torres,Barri,2018,3590.0
sant gervasi la bonanova,Barri,2018,5960.0
sant gervasi galvany,Barri,2018,107.0
el putxet i el farro,Barri,2018,9600.0
vallcarca i els penitents,Barri,2018,6180.0
el coll,Barri,2018,2570.0
la salut,Barri,2018,5340.0
la vila de gracia,Barri,2018,2101.0
el camp den grassot i gracia nova,Barri,2018,1338.0
el baix guinardo,Barri,2018,104.0
can baro,Barri,2018,3830.0
el guinardo,Barri,2018,1655.0
la font den fargues,Barri,2018,5070.0
el carmel,Barri,2018,1727.0
la teixonera,Barri,2018,5250.0
sant genis dels agudells,Barri,2018,3170.0
montbau,Barri,2018,2290.0
la vall dhebron,Barri,2018,2440.0
la clota,Barri,2018,170.0
horta,Barri,2018,1453.0
vilapicina i la torre llobeta,Barri,2018,1353.0
porta,Barri,2018,1321.0
el turo de la peira,Barri,2018,8430.0
can peguera,Barri,2018,1180.0
la guineueta,Barri,2018,9730.0
canyelles,Barri,2018,4750.0
les roquetes,Barri,2018,103.0
verdun,Barri,2018,7890.0
la prosperitat,Barri,2018,1484.0
la trinitat nova,Barri,2018,6780.0
torre baro,Barri,2018,1870.0
ciutat meridiana,Barri,2018,9770.0
vallbona,Barri,2018,1130.0
la trinitat vella,Barri,2018,9050.0
baro de viver,Barri,2018,1220.0
el bon pastor,Barri,2018,6910.0
sant andreu,Barri,2018,2798.0
la sagrera,Barri,2018,131.0
el congres i els indians,Barri,2018,6370.0
navas,Barri,2018,9820.0
el camp de larpa del clot,Barri,2018,1888.0
el clot,Barri,2018,1288.0
el parc i la llacuna del poblenou,Barri,2018,6230.0
la vila olimpica del poblenou,Barri,2018,4090.0
el poblenou,Barri,2018,1407.0
diagonal mar i el front maritim del poblenou,Barri,2018,6670.0
el besos i el maresme,Barri,2018,1531.0
provencals del poblenou,Barri,2018,1028.0
sant marti de provencals,Barri,2018,1443.0
la verneda i la pau,Barri,2018,1635.0
no consta,Barri,2018,70.0
el raval,Barri,2019,3315.0
el barri gotic,Barri,2019,8980.0
la barceloneta,Barri,2019,9910.0
sant pere santa caterina i la ribera,Barri,2019,137.0
el fort pienc,Barri,2019,1206.0
la sagrada familia,Barri,2019,1931.0
la dreta de leixample,Barri,2019,1286.0
lantiga esquerra de leixample,Barri,2019,1468.0
la nova esquerra de leixample,Barri,2019,2122.0
sant antoni,Barri,2019,1552.0
el poble sec,Barri,2019,2164.0
la marina del prat vermell,Barri,2019,990.0
la marina de port,Barri,2019,1664.0
la font de la guatlla,Barri,2019,5460.0
hostafrancs,Barri,2019,6790.0
la bordeta,Barri,2019,7970.0
sants badal,Barri,2019,8860.0
sants,Barri,2019,1652.0
les corts,Barri,2019,1687.0
la maternitat i sant ramon,Barri,2019,8760.0
pedralbes,Barri,2019,2110.0
vallvidrera el tibidabo i les planes,Barri,2019,910.0
sarria,Barri,2019,4630.0
les tres torres,Barri,2019,3550.0
sant gervasi la bonanova,Barri,2019,5770.0
sant gervasi galvany,Barri,2019,1069.0
el putxet i el farro,Barri,2019,9220.0
vallcarca i els penitents,Barri,2019,5900.0
el coll,Barri,2019,2440.0
la salut,Barri,2019,5120.0
la vila de gracia,Barri,2019,1934.0
el camp den grassot i gracia nova,Barri,2019,1258.0
el baix guinardo,Barri,2019,9690.0
can baro,Barri,2019,3680.0
el guinardo,Barri,2019,1537.0
la font den fargues,Barri,2019,4720.0
el carmel,Barri,2019,1609.0
la teixonera,Barri,2019,5070.0
sant genis dels agudells,Barri,2019,3100.0
montbau,Barri,2019,2240.0
la vall dhebron,Barri,2019,2390.0
la clota,Barri,2019,170.0
horta,Barri,2019,1351.0
vilapicina i la torre llobeta,Barri,2019,1247.0
porta,Barri,2019,1201.0
el turo de la peira,Barri,2019,7820.0
can peguera,Barri,2019,1090.0
la guineueta,Barri,2019,8970.0
canyelles,Barri,2019,4370.0
les roquetes,Barri,2019,9490.0
verdun,Barri,2019,7270.0
la prosperitat,Barri,2019,135.0
la trinitat nova,Barri,2019,6300.0
torre baro,Barri,2019,1740.0
ciutat meridiana,Barri,2019,9080.0
vallbona,Barri,2019,1050.0
la trinitat vella,Barri,2019,8420.0
baro de viver,Barri,2019,1150.0
el bon pastor,Barri,2019,6520.0
sant andreu,Barri,2019,264.0
la sagrera,Barri,2019,1223.0
el congres i els indians,Barri,2019,5960.0
navas,Barri,2019,9170.0
el camp de larpa del clot,Barri,2019,1755.0
el clot,Barri,2019,1203.0
el parc i la llacuna del poblenou,Barri,2019,5850.0
la vila olimpica del poblenou,Barri,2019,3870.0
el poblenou,Barri,2019,1332.0
diagonal mar i el front maritim del poblenou,Barri,2019,6250.0
el besos i el maresme,Barri,2019,1429.0
provencals del poblenou,Barri,2019,9480.0
sant marti de provencals,Barri,2019,1312.0
la verneda i la pau,Barri,2019,1484.0
no consta,Barri,2019,150.0
el raval,Barri,2020,3065.0
el barri gotic,Barri,2020,9180.0
la barceloneta,Barri,2020,1002.0
sant pere santa caterina i la ribera,Barri,2020,1379.0
el fort pienc,Barri,2020,1169.0
la sagrada familia,Barri,2020,193.0
la dreta de leixample,Barri,2020,1269.0
lantiga esquerra de leixample,Barri,2020,1348.0
la nova esquerra de leixample,Barri,2020,2151.0
sant antoni,Barri,2020,1553.0
el poble sec,Barri,2020,2082.0
la marina del prat vermell,Barri,2020,960.0
la marina de port,Barri,2020,1588.0
la font de la guatlla,Barri,2020,5250.0
hostafrancs,Barri,2020,6990.0
la bordeta,Barri,2020,8210.0
sants badal,Barri,2020,8570.0
sants,Barri,2020,166.0
les corts,Barri,2020,1695.0
la maternitat i sant ramon,Barri,2020,8480.0
pedralbes,Barri,2020,1950.0
vallvidrera el tibidabo i les planes,Barri,2020,910.0
sarria,Barri,2020,4410.0
les tres torres,Barri,2020,3550.0
sant gervasi la bonanova,Barri,2020,5920.0
sant gervasi galvany,Barri,2020,1043.0
el putxet i el farro,Barri,2020,9600.0
vallcarca i els penitents,Barri,2020,6280.0
el coll,Barri,2020,2650.0
la salut,Barri,2020,5360.0
la vila de gracia,Barri,2020,1966.0
el camp den grassot i gracia nova,Barri,2020,1284.0
el baix guinardo,Barri,2020,9980.0
can baro,Barri,2020,3840.0
el guinardo,Barri,2020,1537.0
la font den fargues,Barri,2020,4800.0
el carmel,Barri,2020,1637.0
la teixonera,Barri,2020,4940.0
sant genis dels agudells,Barri,2020,2980.0
montbau,Barri,2020,2150.0
la vall dhebron,Barri,2020,2300.0
la clota,Barri,2020,160.0
horta,Barri,2020,1352.0
vilapicina i la torre llobeta,Barri,2020,1263.0
porta,Barri,2020,1263.0
el turo de la peira,Barri,2020,7770.0
can peguera,Barri,2020,1090.0
la guineueta,Barri,2020,8860.0
canyelles,Barri,2020,4320.0
les roquetes,Barri,2020,9370.0
verdun,Barri,2020,7180.0
la prosperitat,Barri,2020,1419.0
la trinitat nova,Barri,2020,6350.0
torre baro,Barri,2020,1760.0
ciutat meridiana,Barri,2020,9170.0
vallbona,Barri,2020,1060.0
la trinitat vella,Barri,2020,8500.0
baro de viver,Barri,2020,1180.0
el bon pastor,Barri,2020,6730.0
sant andreu,Barri,2020,2726.0
la sagrera,Barri,2020,1202.0
el congres i els indians,Barri,2020,5850.0
navas,Barri,2020,9020.0
el camp de larpa del clot,Barri,2020,1768.0
el clot,Barri,2020,1215.0
el parc i la llacuna del poblenou,Barri,2020,5990.0
la vila olimpica del poblenou,Barri,2020,4140.0
el poblenou,Barri,2020,1416.0
diagonal mar i el front maritim del poblenou,Barri,2020,6310.0
el besos i el maresme,Barri,2020,1437.0
provencals del poblenou,Barri,2020,9540.0
sant marti de provencals,Barri,2020,1312.0
la verneda i la pau,Barri,2020,1483.0
no consta,Barri,2020,230.0
el raval,Barri,2021,5179.0
el barri gotic,Barri,2021,144.0
la barceloneta,Barri,2021,1444.0
sant pere santa caterina i la ribera,Barri,2021,1988.0
el fort pienc,Barri,2021,168.0
la sagrada familia,Barri,2021,2639.0
la dreta de leixample,Barri,2021,1885.0
lantiga esquerra de leixample,Barri,2021,1936.0
la nova esquerra de leixample,Barri,2021,2881.0
sant antoni,Barri,2021,2177.0
el poble sec,Barri,2021,3108.0
la marina del prat vermell,Barri,2021,1380.0
la marina de port,Barri,2021,2223.0
la font de la guatlla,Barri,2021,7810.0
hostafrancs,Barri,2021,9280.0
la bordeta,Barri,2021,1089.0
sants badal,Barri,2021,1142.0
sants,Barri,2021,22.0
les corts,Barri,2021,2218.0
la maternitat i sant ramon,Barri,2021,1129.0
pedralbes,Barri,2021,2650.0
vallvidrera el tibidabo i les planes,Barri,2021,1260.0
sarria,Barri,2021,6020.0
les tres torres,Barri,2021,4870.0
sant gervasi la bonanova,Barri,2021,7450.0
sant gervasi galvany,Barri,2021,142.0
el putxet i el farro,Barri,2021,127.0
vallcarca i els penitents,Barri,2021,8340.0
el coll,Barri,2021,3490.0
la salut,Barri,2021,6900.0
la vila de gracia,Barri,2021,267.0
el camp den grassot i gracia nova,Barri,2021,1695.0
el baix guinardo,Barri,2021,1302.0
can baro,Barri,2021,4940.0
el guinardo,Barri,2021,2049.0
la font den fargues,Barri,2021,6230.0
el carmel,Barri,2021,2126.0
la teixonera,Barri,2021,6870.0
sant genis dels agudells,Barri,2021,4230.0
montbau,Barri,2021,3060.0
la vall dhebron,Barri,2021,3260.0
la clota,Barri,2021,230.0
horta,Barri,2021,1813.0
vilapicina i la torre llobeta,Barri,2021,1695.0
porta,Barri,2021,1641.0
el turo de la peira,Barri,2021,1061.0
can peguera,Barri,2021,1460.0
la guineueta,Barri,2021,1162.0
canyelles,Barri,2021,5670.0
les roquetes,Barri,2021,1229.0
verdun,Barri,2021,9420.0
la prosperitat,Barri,2021,1843.0
la trinitat nova,Barri,2021,8540.0
torre baro,Barri,2021,2370.0
ciutat meridiana,Barri,2021,1236.0
vallbona,Barri,2021,1440.0
la trinitat vella,Barri,2021,1145.0
baro de viver,Barri,2021,1450.0
el bon pastor,Barri,2021,8260.0
sant andreu,Barri,2021,3345.0
la sagrera,Barri,2021,1627.0
el congres i els indians,Barri,2021,7920.0
navas,Barri,2021,122.0
el camp de larpa del clot,Barri,2021,233.0
el clot,Barri,2021,1593.0
el parc i la llacuna del poblenou,Barri,2021,7780.0
la vila olimpica del poblenou,Barri,2021,5250.0
el poblenou,Barri,2021,18.0
diagonal mar i el front maritim del poblenou,Barri,2021,8620.0
el besos i el maresme,Barri,2021,1965.0
provencals del poblenou,Barri,2021,125.0
sant marti de provencals,Barri,2021,1695.0
la verneda i la pau,Barri,2021,1915.0
no consta,Barri,2021,1270.0
el raval,Barri,2022,3039.0
el barri gotic,Barri,2022,8380.0
la barceloneta,Barri,2022,8530.0
sant pere santa caterina i la ribera,Barri,2022,1178.0
el fort pienc,Barri,2022,1063.0
la sagrada familia,Barri,2022,1743.0
la dreta de leixample,Barri,2022,1165.0
lantiga esquerra de leixample,Barri,2022,1159.0
la nova esquerra de leixample,Barri,2022,1814.0
sant antoni,Barri,2022,1316.0
el poble sec,Barri,2022,1805.0
la marina del prat vermell,Barri,2022,1000.0
la marina de port,Barri,2022,162.0
la font de la guatlla,Barri,2022,4610.0
hostafrancs,Barri,2022,7330.0
la bordeta,Barri,2022,7330.0
sants badal,Barri,2022,7640.0
sants,Barri,2022,1475.0
les corts,Barri,2022,1474.0
la maternitat i sant ramon,Barri,2022,7560.0
pedralbes,Barri,2022,1910.0
vallvidrera el tibidabo i les planes,Barri,2022,860.0
sarria,Barri,2022,4260.0
les tres torres,Barri,2022,3340.0
sant gervasi la bonanova,Barri,2022,5000.0
sant gervasi galvany,Barri,2022,8830.0
el putxet i el farro,Barri,2022,8130.0
vallcarca i els penitents,Barri,2022,5350.0
el coll,Barri,2022,2190.0
la salut,Barri,2022,4490.0
la vila de gracia,Barri,2022,1718.0
el camp den grassot i gracia nova,Barri,2022,1146.0
el baix guinardo,Barri,2022,8770.0
can baro,Barri,2022,3220.0
el guinardo,Barri,2022,1437.0
la font den fargues,Barri,2022,4350.0
el carmel,Barri,2022,1482.0
la teixonera,Barri,2022,4840.0
sant genis dels agudells,Barri,2022,2980.0
montbau,Barri,2022,2160.0
la vall dhebron,Barri,2022,2300.0
la clota,Barri,2022,160.0
horta,Barri,2022,127.0
vilapicina i la torre llobeta,Barri,2022,1184.0
porta,Barri,2022,115.0
el turo de la peira,Barri,2022,7430.0
can peguera,Barri,2022,1040.0
la guineueta,Barri,2022,8410.0
canyelles,Barri,2022,4100.0
les roquetes,Barri,2022,8890.0
verdun,Barri,2022,6820.0
la prosperitat,Barri,2022,1292.0
la trinitat nova,Barri,2022,6110.0
torre baro,Barri,2022,1690.0
ciutat meridiana,Barri,2022,8840.0
vallbona,Barri,2022,1030.0
la trinitat vella,Barri,2022,8200.0
baro de viver,Barri,2022,1070.0
el bon pastor,Barri,2022,6080.0
sant andreu,Barri,2022,246.0
la sagrera,Barri,2022,1088.0
el congres i els indians,Barri,2022,5300.0
navas,Barri,2022,8210.0
el camp de larpa del clot,Barri,2022,1552.0
el clot,Barri,2022,1111.0
el parc i la llacuna del poblenou,Barri,2022,5540.0
la vila olimpica del poblenou,Barri,2022,3460.0
el poblenou,Barri,2022,1202.0
diagonal mar i el front maritim del poblenou,Barri,2022,6210.0
el besos i el maresme,Barri,2022,1422.0
provencals del poblenou,Barri,2022,8910.0
sant marti de provencals,Barri,2022,1187.0
la verneda i la pau,Barri,2022,1338.0
no consta,Barri,2022,720.0
el raval,Barri,2023,2901.0
el barri gotic,Barri,2023,8670.0
la barceloneta,Barri,2023,7700.0
sant pere santa caterina i la ribera,Barri,2023,1174.0
el fort pienc,Barri,2023,1074.0
la sagrada familia,Barri,2023,1669.0
la dreta de leixample,Barri,2023,1133.0
lantiga esquerra de leixample,Barri,2023,1156.0
la nova esquerra de leixample,Barri,2023,1779.0
sant antoni,Barri,2023,1331.0
el poble sec,Barri,2023,183.0
la marina del prat vermell,Barri,2023,1060.0
la marina de port,Barri,2023,1533.0
la font de la guatlla,Barri,2023,4870.0
hostafrancs,Barri,2023,6010.0
la bordeta,Barri,2023,7290.0
sants badal,Barri,2023,7910.0
sants,Barri,2023,1506.0
les corts,Barri,2023,1401.0
la maternitat i sant ramon,Barri,2023,7740.0
pedralbes,Barri,2023,1830.0
vallvidrera el tibidabo i les planes,Barri,2023,1020.0
sarria,Barri,2023,4250.0
les tres torres,Barri,2023,3290.0
sant gervasi la bonanova,Barri,2023,5240.0
sant gervasi galvany,Barri,2023,9860.0
el putxet i el farro,Barri,2023,7940.0
vallcarca i els penitents,Barri,2023,5220.0
el coll,Barri,2023,2450.0
la salut,Barri,2023,4440.0
la vila de gracia,Barri,2023,1679.0
el camp den grassot i gracia nova,Barri,2023,1115.0
el baix guinardo,Barri,2023,8390.0
can baro,Barri,2023,3120.0
el guinardo,Barri,2023,1413.0
la font den fargues,Barri,2023,4200.0
el carmel,Barri,2023,1407.0
la teixonera,Barri,2023,4720.0
sant genis dels agudells,Barri,2023,2800.0
montbau,Barri,2023,1930.0
la vall dhebron,Barri,2023,2260.0
la clota,Barri,2023,260.0
horta,Barri,2023,1225.0
vilapicina i la torre llobeta,Barri,2023,1104.0
porta,Barri,2023,118.0
el turo de la peira,Barri,2023,6970.0
can peguera,Barri,2023,1010.0
la guineueta,Barri,2023,7870.0
canyelles,Barri,2023,3550.0
les roquetes,Barri,2023,8450.0
verdun,Barri,2023,6560.0
la prosperitat,Barri,2023,1135.0
la trinitat nova,Barri,2023,5190.0
torre baro,Barri,2023,2110.0
ciutat meridiana,Barri,2023,7850.0
vallbona,Barri,2023,1030.0
la trinitat vella,Barri,2023,7520.0
baro de viver,Barri,2023,1080.0
el bon pastor,Barri,2023,5630.0
sant andreu,Barri,2023,2392.0
la sagrera,Barri,2023,109.0
el congres i els indians,Barri,2023,5300.0
navas,Barri,2023,8120.0
el camp de larpa del clot,Barri,2023,148.0
el clot,Barri,2023,10.0
el parc i la llacuna del poblenou,Barri,2023,5890.0
la vila olimpica del poblenou,Barri,2023,3290.0
el poblenou,Barri,2023,1208.0
diagonal mar i el front maritim del poblenou,Barri,2023,6550.0
el besos i el maresme,Barri,2023,1316.0
provencals del poblenou,Barri,2023,9200.0
sant marti de provencals,Barri,2023,1173.0
la verneda i la pau,Barri,2023,132.0
no consta,Barri,2023,500.0
el raval,Barri,2024,2908.0
el barri gotic,Barri,2024,9890.0
la barceloneta,Barri,2024,8160.0
sant pere santa caterina i la ribera,Barri,2024,1239.0
el fort pienc,Barri,2024,1138.0
la sagrada familia,Barri,2024,1777.0
la dreta de leixample,Barri,2024,1243.0
lantiga esquerra de leixample,Barri,2024,1259.0
la nova esquerra de leixample,Barri,2024,1857.0
sant antoni,Barri,2024,1379.0
el poble sec,Barri,2024,1857.0
la marina del prat vermell,Barri,2024,1010.0
la marina de port,Barri,2024,1546.0
la font de la guatlla,Barri,2024,4940.0
hostafrancs,Barri,2024,6330.0
la bordeta,Barri,2024,7680.0
sants badal,Barri,2024,7960.0
sants,Barri,2024,1562.0
les corts,Barri,2024,147.0
la maternitat i sant ramon,Barri,2024,7790.0
pedralbes,Barri,2024,1970.0
vallvidrera el tibidabo i les planes,Barri,2024,1060.0
sarria,Barri,2024,4520.0
les tres torres,Barri,2024,3440.0
sant gervasi la bonanova,Barri,2024,5330.0
sant gervasi galvany,Barri,2024,9690.0
el putxet i el farro,Barri,2024,8120.0
vallcarca i els penitents,Barri,2024,5360.0
el coll,Barri,2024,2510.0
la salut,Barri,2024,4720.0
la vila de gracia,Barri,2024,1821.0
el camp den grassot i gracia nova,Barri,2024,1193.0
el baix guinardo,Barri,2024,8960.0
can baro,Barri,2024,3320.0
el guinardo,Barri,2024,1421.0
la font den fargues,Barri,2024,4310.0
el carmel,Barri,2024,1445.0
la teixonera,Barri,2024,4850.0
sant genis dels agudells,Barri,2024,2880.0
montbau,Barri,2024,1980.0
la vall dhebron,Barri,2024,2320.0
la clota,Barri,2024,270.0
horta,Barri,2024,1277.0
vilapicina i la torre llobeta,Barri,2024,1172.0
porta,Barri,2024,1283.0
el turo de la peira,Barri,2024,7350.0
can peguera,Barri,2024,1050.0
la guineueta,Barri,2024,8130.0
canyelles,Barri,2024,3660.0
les roquetes,Barri,2024,8730.0
verdun,Barri,2024,6780.0
la prosperitat,Barri,2024,1233.0
la trinitat nova,Barri,2024,5300.0
torre baro,Barri,2024,2160.0
ciutat meridiana,Barri,2024,8010.0
vallbona,Barri,2024,1050.0
la trinitat vella,Barri,2024,7680.0
baro de viver,Barri,2024,1070.0
el bon pastor,Barri,2024,5570.0
sant andreu,Barri,2024,2366.0
la sagrera,Barri,2024,1093.0
el congres i els indians,Barri,2024,5310.0
navas,Barri,2024,8140.0
el camp de larpa del clot,Barri,2024,1587.0
el clot,Barri,2024,1042.0
el parc i la llacuna del poblenou,Barri,2024,6020.0
la vila olimpica del poblenou,Barri,2024,3390.0
el poblenou,Barri,2024,1241.0
diagonal mar i el front maritim del poblenou,Barri,2024,6750.0
el besos i el maresme,Barri,2024,1354.0
provencals del poblenou,Barri,2024,9330.0
sant marti de provencals,Barri,2024,1173.0
la verneda i la pau,Barri,2024,1318.0
no consta,Barri,2024,520.0
el raval,Barri,2025,2896.0
el barri gotic,Barri,2025,9520.0
la barceloneta,Barri,2025,7960.0
sant pere santa caterina i la ribera,Barri,2025,1217.0
el fort pienc,Barri,2025,1174.0
la sagrada familia,Barri,2025,1771.0
la dreta de leixample,Barri,2025,1252.0
lantiga esquerra de leixample,Barri,2025,1229.0
la nova esquerra de leixample,Barri,2025,1848.0
sant antoni,Barri,2025,1373.0
el poble sec,Barri,2025,1811.0
la marina del prat vermell,Barri,2025,960.0
la marina de port,Barri,2025,1499.0
la font de la guatlla,Barri,2025,4820.0
hostafrancs,Barri,2025,6210.0
la bordeta,Barri,2025,7520.0
sants badal,Barri,2025,7650.0
sants,Barri,2025,152.0
les corts,Barri,2025,1428.0
la maternitat i sant ramon,Barri,2025,7480.0
pedralbes,Barri,2025,1950.0
vallvidrera el tibidabo i les planes,Barri,2025,1030.0
sarria,Barri,2025,4440.0
les tres torres,Barri,2025,3350.0
sant gervasi la bonanova,Barri,2025,5250.0
sant gervasi galvany,Barri,2025,1021.0
el putxet i el farro,Barri,2025,8260.0
vallcarca i els penitents,Barri,2025,5380.0
el coll,Barri,2025,2530.0
la salut,Barri,2025,4560.0
la vila de gracia,Barri,2025,1799.0
el camp den grassot i gracia nova,Barri,2025,1148.0
el baix guinardo,Barri,2025,8680.0
can baro,Barri,2025,3200.0
el guinardo,Barri,2025,1428.0
la font den fargues,Barri,2025,4340.0
