territori,tipus_de_territori,any,poblacio_total
el bon pastor,Barri,2007,12172
sant andreu,Barri,2007,55451
la sagrera,Barri,2007,28347
el congres i els indians,Barri,2007,13850
navas,Barri,2007,21380
el camp de larpa del clot,Barri,2007,38586
el clot,Barri,2007,26748
el parc i la llacuna del poblenou,Barri,2007,13190
la vila olimpica del poblenou,Barri,2007,8701
el poblenou,Barri,2007,29852
diagonal mar i el front maritim del poblenou,Barri,2007,9639
el besos i el maresme,Barri,2007,22033
provencals del poblenou,Barri,2007,18613
sant marti de provencals,Barri,2007,26121
la verneda i la pau,Barri,2007,29520
el raval,Barri,2008,47488
el barri gotic,Barri,2008,25505
la barceloneta,Barri,2008,16154
sant pere santa caterina i la ribera,Barri,2008,22644
el fort pienc,Barri,2008,32159
la sagrada familia,Barri,2008,52571
la dreta de leixample,Barri,2008,42735
lantiga esquerra de leixample,Barri,2008,41581
la nova esquerra de leixample,Barri,2008,58345
sant antoni,Barri,2008,38243
el poble sec,Barri,2008,40334
la marina del prat vermell,Barri,2008,1190
la marina de port,Barri,2008,29714
la font de la guatlla,Barri,2008,10075
hostafrancs,Barri,2008,15940
la bordeta,Barri,2008,18721
sants badal,Barri,2008,24270
sants,Barri,2008,41029
les corts,Barri,2008,46928
la maternitat i sant ramon,Barri,2008,23785
pedralbes,Barri,2008,11532
vallvidrera el tibidabo i les planes,Barri,2008,4082
sarria,Barri,2008,23371
les tres torres,Barri,2008,15351
sant gervasi la bonanova,Barri,2008,24399
sant gervasi galvany,Barri,2008,46501
el putxet i el farro,Barri,2008,28757
vallcarca i els penitents,Barri,2008,15469
el coll,Barri,2008,7304
la salut,Barri,2008,13182
la vila de gracia,Barri,2008,51295
el camp den grassot i gracia nova,Barri,2008,34696
el baix guinardo,Barri,2008,25997
can baro,Barri,2008,9076
el guinardo,Barri,2008,35169
la font den fargues,Barri,2008,9664
el carmel,Barri,2008,32264
la teixonera,Barri,2008,11938
sant genis dels agudells,Barri,2008,7092
montbau,Barri,2008,5182
la vall dhebron,Barri,2008,5559
la clota,Barri,2008,455
horta,Barri,2008,27284
vilapicina i la torre llobeta,Barri,2008,25756
porta,Barri,2008,24390
el turo de la peira,Barri,2008,15186
can peguera,Barri,2008,2145
la guineueta,Barri,2008,15428
canyelles,Barri,2008,7471
les roquetes,Barri,2008,15942
verdun,Barri,2008,12407
la prosperitat,Barri,2008,26634
la trinitat nova,Barri,2008,8080
torre baro,Barri,2008,2151
ciutat meridiana,Barri,2008,11139
vallbona,Barri,2008,1317
la trinitat vella,Barri,2008,10274
baro de viver,Barri,2008,2458
el bon pastor,Barri,2008,13089
sant andreu,Barri,2008,55589
la sagrera,Barri,2008,28707
el congres i els indians,Barri,2008,13995
navas,Barri,2008,21601
el camp de larpa del clot,Barri,2008,38786
el clot,Barri,2008,27076
el parc i la llacuna del poblenou,Barri,2008,13123
la vila olimpica del poblenou,Barri,2008,8961
el poblenou,Barri,2008,30555
diagonal mar i el front maritim del poblenou,Barri,2008,9964
el besos i el maresme,Barri,2008,23319
provencals del poblenou,Barri,2008,18859
sant marti de provencals,Barri,2008,26174
la verneda i la pau,Barri,2008,29572
el raval,Barri,2009,47963
el barri gotic,Barri,2009,22793
la barceloneta,Barri,2009,16231
sant pere santa caterina i la ribera,Barri,2009,23029
el fort pienc,Barri,2009,33079
la sagrada familia,Barri,2009,52969
la dreta de leixample,Barri,2009,43410
lantiga esquerra de leixample,Barri,2009,41926
la nova esquerra de leixample,Barri,2009,58532
sant antoni,Barri,2009,38513
el poble sec,Barri,2009,40678
la marina del prat vermell,Barri,2009,1155
la marina de port,Barri,2009,30137
la font de la guatlla,Barri,2009,10219
hostafrancs,Barri,2009,16013
la bordeta,Barri,2009,18839
sants badal,Barri,2009,24269
sants,Barri,2009,42207
les corts,Barri,2009,47618
la maternitat i sant ramon,Barri,2009,23934
pedralbes,Barri,2009,11631
vallvidrera el tibidabo i les planes,Barri,2009,4287
sarria,Barri,2009,23615
les tres torres,Barri,2009,15546
sant gervasi la bonanova,Barri,2009,25282
sant gervasi galvany,Barri,2009,46830
el putxet i el farro,Barri,2009,28871
vallcarca i els penitents,Barri,2009,15697
el coll,Barri,2009,7294
la salut,Barri,2009,13246
la vila de gracia,Barri,2009,52633
el camp den grassot i gracia nova,Barri,2009,34934
el baix guinardo,Barri,2009,26110
can baro,Barri,2009,9161
el guinardo,Barri,2009,35620
la font den fargues,Barri,2009,9667
el carmel,Barri,2009,32615
la teixonera,Barri,2009,11905
sant genis dels agudells,Barri,2009,7174
montbau,Barri,2009,5224
la vall dhebron,Barri,2009,5546
la clota,Barri,2009,464
horta,Barri,2009,27873
vilapicina i la torre llobeta,Barri,2009,25924
porta,Barri,2009,25334
el turo de la peira,Barri,2009,15341
can peguera,Barri,2009,2161
la guineueta,Barri,2009,15362
canyelles,Barri,2009,7440
les roquetes,Barri,2009,16182
verdun,Barri,2009,12397
la prosperitat,Barri,2009,26819
la trinitat nova,Barri,2009,8133
torre baro,Barri,2009,2165
ciutat meridiana,Barri,2009,11231
vallbona,Barri,2009,1327
la trinitat vella,Barri,2009,10447
baro de viver,Barri,2009,2452
el bon pastor,Barri,2009,13829
sant andreu,Barri,2009,55892
la sagrera,Barri,2009,28943
el congres i els indians,Barri,2009,14061
navas,Barri,2009,21780
el camp de larpa del clot,Barri,2009,38839
el clot,Barri,2009,27544
el parc i la llacuna del poblenou,Barri,2009,13400
la vila olimpica del poblenou,Barri,2009,9117
el poblenou,Barri,2009,31127
diagonal mar i el front maritim del poblenou,Barri,2009,10691
el besos i el maresme,Barri,2009,24018
provencals del poblenou,Barri,2009,19304
sant marti de provencals,Barri,2009,26287
la verneda i la pau,Barri,2009,29567
el raval,Barri,2010,47356
el barri gotic,Barri,2010,18520
la barceloneta,Barri,2010,16090
sant pere santa caterina i la ribera,Barri,2010,22698
el fort pienc,Barri,2010,32648
la sagrada familia,Barri,2010,52164
la dreta de leixample,Barri,2010,43063
lantiga esquerra de leixample,Barri,2010,41697
la nova esquerra de leixample,Barri,2010,58013
sant antoni,Barri,2010,38129
el poble sec,Barri,2010,40386
la marina del prat vermell,Barri,2010,1135
la marina de port,Barri,2010,30108
la font de la guatlla,Barri,2010,10281
hostafrancs,Barri,2010,15961
la bordeta,Barri,2010,18645
sants badal,Barri,2010,24350
sants,Barri,2010,42111
les corts,Barri,2010,47319
la maternitat i sant ramon,Barri,2010,23762
pedralbes,Barri,2010,11669
vallvidrera el tibidabo i les planes,Barri,2010,4265
sarria,Barri,2010,23763
les tres torres,Barri,2010,15731
sant gervasi la bonanova,Barri,2010,25704
sant gervasi galvany,Barri,2010,46291
el putxet i el farro,Barri,2010,28731
vallcarca i els penitents,Barri,2010,15481
el coll,Barri,2010,7227
la salut,Barri,2010,13326
la vila de gracia,Barri,2010,52314
el camp den grassot i gracia nova,Barri,2010,34630
el baix guinardo,Barri,2010,26019
can baro,Barri,2010,9124
el guinardo,Barri,2010,35669
la font den fargues,Barri,2010,9581
el carmel,Barri,2010,32337
la teixonera,Barri,2010,11827
sant genis dels agudells,Barri,2010,7121
montbau,Barri,2010,5250
la vall dhebron,Barri,2010,5605
la clota,Barri,2010,453
horta,Barri,2010,27771
vilapicina i la torre llobeta,Barri,2010,25635
porta,Barri,2010,25169
el turo de la peira,Barri,2010,15339
can peguera,Barri,2010,2215
la guineueta,Barri,2010,15299
canyelles,Barri,2010,7305
les roquetes,Barri,2010,15992
verdun,Barri,2010,12315
la prosperitat,Barri,2010,26574
la trinitat nova,Barri,2010,7877
torre baro,Barri,2010,2164
ciutat meridiana,Barri,2010,10860
vallbona,Barri,2010,1336
la trinitat vella,Barri,2010,10275
baro de viver,Barri,2010,2392
el bon pastor,Barri,2010,13809
sant andreu,Barri,2010,55838
la sagrera,Barri,2010,28882
el congres i els indians,Barri,2010,13953
navas,Barri,2010,21839
el camp de larpa del clot,Barri,2010,38350
el clot,Barri,2010,27497
el parc i la llacuna del poblenou,Barri,2010,13471
la vila olimpica del poblenou,Barri,2010,9248
el poblenou,Barri,2010,31384
diagonal mar i el front maritim del poblenou,Barri,2010,11264
el besos i el maresme,Barri,2010,23798
provencals del poblenou,Barri,2010,19594
sant marti de provencals,Barri,2010,26154
la verneda i la pau,Barri,2010,29460
el raval,Barri,2011,47725
el barri gotic,Barri,2011,17678
la barceloneta,Barri,2011,15749
sant pere santa caterina i la ribera,Barri,2011,22417
el fort pienc,Barri,2011,32387
la sagrada familia,Barri,2011,51976
la dreta de leixample,Barri,2011,42856
lantiga esquerra de leixample,Barri,2011,41416
la nova esquerra de leixample,Barri,2011,57676
sant antoni,Barri,2011,37985
el poble sec,Barri,2011,40539
la marina del prat vermell,Barri,2011,1119
la marina de port,Barri,2011,30238
la font de la guatlla,Barri,2011,10215
hostafrancs,Barri,2011,15858
la bordeta,Barri,2011,18492
sants badal,Barri,2011,24340
sants,Barri,2011,41932
les corts,Barri,2011,47098
la maternitat i sant ramon,Barri,2011,23607
pedralbes,Barri,2011,11632
vallvidrera el tibidabo i les planes,Barri,2011,4288
sarria,Barri,2011,23920
les tres torres,Barri,2011,15748
sant gervasi la bonanova,Barri,2011,25639
sant gervasi galvany,Barri,2011,46128
el putxet i el farro,Barri,2011,28632
vallcarca i els penitents,Barri,2011,15446
el coll,Barri,2011,7288
la salut,Barri,2011,13147
la vila de gracia,Barri,2011,51190
el camp den grassot i gracia nova,Barri,2011,34412
el baix guinardo,Barri,2011,26002
can baro,Barri,2011,8925
el guinardo,Barri,2011,35692
la font den fargues,Barri,2011,9521
el carmel,Barri,2011,32084
la teixonera,Barri,2011,11788
sant genis dels agudells,Barri,2011,6984
montbau,Barri,2011,5213
la vall dhebron,Barri,2011,5564
la clota,Barri,2011,464
horta,Barri,2011,27527
vilapicina i la torre llobeta,Barri,2011,25420
porta,Barri,2011,25088
el turo de la peira,Barri,2011,15425
can peguera,Barri,2011,2240
la guineueta,Barri,2011,15263
canyelles,Barri,2011,7239
les roquetes,Barri,2011,15987
verdun,Barri,2011,12304
la prosperitat,Barri,2011,26555
la trinitat nova,Barri,2011,7699
torre baro,Barri,2011,2172
ciutat meridiana,Barri,2011,10886
vallbona,Barri,2011,1343
la trinitat vella,Barri,2011,10403
baro de viver,Barri,2011,2411
el bon pastor,Barri,2011,13621
sant andreu,Barri,2011,56075
la sagrera,Barri,2011,29120
el congres i els indians,Barri,2011,13998
navas,Barri,2011,21725
el camp de larpa del clot,Barri,2011,37951
el clot,Barri,2011,27362
el parc i la llacuna del poblenou,Barri,2011,13733
la vila olimpica del poblenou,Barri,2011,9240
el poblenou,Barri,2011,32065
diagonal mar i el front maritim del poblenou,Barri,2011,12003
el besos i el maresme,Barri,2011,23976
provencals del poblenou,Barri,2011,19551
sant marti de provencals,Barri,2011,26154
la verneda i la pau,Barri,2011,29043
el raval,Barri,2012,48991
el barri gotic,Barri,2012,16881
la barceloneta,Barri,2012,15712
sant pere santa caterina i la ribera,Barri,2012,22773
el fort pienc,Barri,2012,32286
la sagrada familia,Barri,2012,52092
la dreta de leixample,Barri,2012,43285
lantiga esquerra de leixample,Barri,2012,41722
la nova esquerra de leixample,Barri,2012,57876
sant antoni,Barri,2012,38332
el poble sec,Barri,2012,41255
la marina del prat vermell,Barri,2012,1150
la marina de port,Barri,2012,30445
la font de la guatlla,Barri,2012,10275
hostafrancs,Barri,2012,16042
la bordeta,Barri,2012,18604
sants badal,Barri,2012,24590
sants,Barri,2012,41609
les corts,Barri,2012,46819
la maternitat i sant ramon,Barri,2012,23786
pedralbes,Barri,2012,11752
vallvidrera el tibidabo i les planes,Barri,2012,4407
sarria,Barri,2012,24280
les tres torres,Barri,2012,15922
sant gervasi la bonanova,Barri,2012,25426
sant gervasi galvany,Barri,2012,46365
el putxet i el farro,Barri,2012,28869
vallcarca i els penitents,Barri,2012,15518
el coll,Barri,2012,7291
la salut,Barri,2012,13186
la vila de gracia,Barri,2012,51104
el camp den grassot i gracia nova,Barri,2012,34732
el baix guinardo,Barri,2012,25906
can baro,Barri,2012,9002
el guinardo,Barri,2012,35656
la font den fargues,Barri,2012,9560
el carmel,Barri,2012,31986
la teixonera,Barri,2012,11770
sant genis dels agudells,Barri,2012,6948
montbau,Barri,2012,5136
la vall dhebron,Barri,2012,5567
la clota,Barri,2012,452
horta,Barri,2012,27001
vilapicina i la torre llobeta,Barri,2012,25519
porta,Barri,2012,24815
el turo de la peira,Barri,2012,15569
can peguera,Barri,2012,2238
la guineueta,Barri,2012,15182
canyelles,Barri,2012,7193
les roquetes,Barri,2012,16028
verdun,Barri,2012,12449
la prosperitat,Barri,2012,26463
la trinitat nova,Barri,2012,7624
torre baro,Barri,2012,2169
ciutat meridiana,Barri,2012,10745
vallbona,Barri,2012,1340
la trinitat vella,Barri,2012,10397
baro de viver,Barri,2012,2411
el bon pastor,Barri,2012,13198
sant andreu,Barri,2012,56282
la sagrera,Barri,2012,29100
el congres i els indians,Barri,2012,14108
navas,Barri,2012,21901
el camp de larpa del clot,Barri,2012,38168
el clot,Barri,2012,27315
el parc i la llacuna del poblenou,Barri,2012,14038
la vila olimpica del poblenou,Barri,2012,9236
el poblenou,Barri,2012,32513
diagonal mar i el front maritim del poblenou,Barri,2012,12515
el besos i el maresme,Barri,2012,23720
provencals del poblenou,Barri,2012,19877
sant marti de provencals,Barri,2012,26126
la verneda i la pau,Barri,2012,29230
el raval,Barri,2013,48771
el barri gotic,Barri,2013,16276
la barceloneta,Barri,2013,15493
sant pere santa caterina i la ribera,Barri,2013,22771
el fort pienc,Barri,2013,31755
la sagrada familia,Barri,2013,51821
la dreta de leixample,Barri,2013,43399
lantiga esquerra de leixample,Barri,2013,41838
la nova esquerra de leixample,Barri,2013,57890
sant antoni,Barri,2013,38264
el poble sec,Barri,2013,41002
la marina del prat vermell,Barri,2013,1172
la marina de port,Barri,2013,30276
la font de la guatlla,Barri,2013,10312
hostafrancs,Barri,2013,15982
la bordeta,Barri,2013,18581
sants badal,Barri,2013,24355
sants,Barri,2013,41061
les corts,Barri,2013,46221
la maternitat i sant ramon,Barri,2013,23674
pedralbes,Barri,2013,11816
vallvidrera el tibidabo i les planes,Barri,2013,4443
sarria,Barri,2013,24510
les tres torres,Barri,2013,16036
sant gervasi la bonanova,Barri,2013,25130
sant gervasi galvany,Barri,2013,46548
el putxet i el farro,Barri,2013,28848
vallcarca i els penitents,Barri,2013,15495
el coll,Barri,2013,7227
la salut,Barri,2013,13199
la vila de gracia,Barri,2013,50636
el camp den grassot i gracia nova,Barri,2013,34440
el baix guinardo,Barri,2013,25647
can baro,Barri,2013,8973
el guinardo,Barri,2013,35712
la font den fargues,Barri,2013,9499
el carmel,Barri,2013,31797
la teixonera,Barri,2013,11659
sant genis dels agudells,Barri,2013,6903
montbau,Barri,2013,5110
la vall dhebron,Barri,2013,5490
la clota,Barri,2013,439
horta,Barri,2013,26571
vilapicina i la torre llobeta,Barri,2013,25548
porta,Barri,2013,24354
el turo de la peira,Barri,2013,15432
can peguera,Barri,2013,2229
la guineueta,Barri,2013,15126
canyelles,Barri,2013,7108
les roquetes,Barri,2013,15774
verdun,Barri,2013,12337
la prosperitat,Barri,2013,26308
la trinitat nova,Barri,2013,7555
torre baro,Barri,2013,2196
ciutat meridiana,Barri,2013,10494
vallbona,Barri,2013,1348
la trinitat vella,Barri,2013,10434
baro de viver,Barri,2013,2416
el bon pastor,Barri,2013,12813
sant andreu,Barri,2013,56500
la sagrera,Barri,2013,28924
el congres i els indians,Barri,2013,14028
navas,Barri,2013,21834
el camp de larpa del clot,Barri,2013,37977
el clot,Barri,2013,27179
el parc i la llacuna del poblenou,Barri,2013,14356
la vila olimpica del poblenou,Barri,2013,9320
el poblenou,Barri,2013,32881
diagonal mar i el front maritim del poblenou,Barri,2013,12928
el besos i el maresme,Barri,2013,23143
provencals del poblenou,Barri,2013,20068
sant marti de provencals,Barri,2013,26001
la verneda i la pau,Barri,2013,29182
el raval,Barri,2014,47490
el barri gotic,Barri,2014,15735
la barceloneta,Barri,2014,15107
sant pere santa caterina i la ribera,Barri,2014,22368
el fort pienc,Barri,2014,31489
la sagrada familia,Barri,2014,51283
la dreta de leixample,Barri,2014,43343
lantiga esquerra de leixample,Barri,2014,41728
la nova esquerra de leixample,Barri,2014,57625
sant antoni,Barri,2014,38096
el poble sec,Barri,2014,40287
la marina del prat vermell,Barri,2014,1143
la marina de port,Barri,2014,30051
la font de la guatlla,Barri,2014,10310
hostafrancs,Barri,2014,15671
la bordeta,Barri,2014,18397
sants badal,Barri,2014,24125
sants,Barri,2014,40849
les corts,Barri,2014,45989
la maternitat i sant ramon,Barri,2014,23554
pedralbes,Barri,2014,11653
vallvidrera el tibidabo i les planes,Barri,2014,4516
sarria,Barri,2014,24531
les tres torres,Barri,2014,16165
sant gervasi la bonanova,Barri,2014,25273
sant gervasi galvany,Barri,2014,46461
el putxet i el farro,Barri,2014,28827
vallcarca i els penitents,Barri,2014,15442
el coll,Barri,2014,7201
la salut,Barri,2014,13159
la vila de gracia,Barri,2014,50440
el camp den grassot i gracia nova,Barri,2014,34041
el baix guinardo,Barri,2014,25536
can baro,Barri,2014,8860
el guinardo,Barri,2014,35539
la font den fargues,Barri,2014,9437
el carmel,Barri,2014,31655
la teixonera,Barri,2014,11435
sant genis dels agudells,Barri,2014,6854
montbau,Barri,2014,5045
la vall dhebron,Barri,2014,5490
la clota,Barri,2014,521
horta,Barri,2014,26552
vilapicina i la torre llobeta,Barri,2014,25332
porta,Barri,2014,24336
el turo de la peira,Barri,2014,15350
can peguera,Barri,2014,2261
la guineueta,Barri,2014,15057
canyelles,Barri,2014,6980
les roquetes,Barri,2014,15565
verdun,Barri,2014,12120
la prosperitat,Barri,2014,26084
la trinitat nova,Barri,2014,7390
torre baro,Barri,2014,2555
ciutat meridiana,Barri,2014,10174
vallbona,Barri,2014,1310
la trinitat vella,Barri,2014,10247
baro de viver,Barri,2014,2479
el bon pastor,Barri,2014,12676
sant andreu,Barri,2014,56263
la sagrera,Barri,2014,28671
el congres i els indians,Barri,2014,13923
navas,Barri,2014,21739
el camp de larpa del clot,Barri,2014,37796
el clot,Barri,2014,27035
el parc i la llacuna del poblenou,Barri,2014,14617
la vila olimpica del poblenou,Barri,2014,9367
el poblenou,Barri,2014,33019
diagonal mar i el front maritim del poblenou,Barri,2014,13168
el besos i el maresme,Barri,2014,22840
provencals del poblenou,Barri,2014,20098
sant marti de provencals,Barri,2014,25917
la verneda i la pau,Barri,2014,28808
el raval,Barri,2015,47150
el barri gotic,Barri,2015,15514
la barceloneta,Barri,2015,15037
sant pere santa caterina i la ribera,Barri,2015,22468
el fort pienc,Barri,2015,31548
la sagrada familia,Barri,2015,51094
la dreta de leixample,Barri,2015,43558
lantiga esquerra de leixample,Barri,2015,41662
la nova esquerra de leixample,Barri,2015,57664
sant antoni,Barri,2015,38031
el poble sec,Barri,2015,40222
la marina del prat vermell,Barri,2015,1122
la marina de port,Barri,2015,30237
la font de la guatlla,Barri,2015,10371
hostafrancs,Barri,2015,15758
la bordeta,Barri,2015,18384
sants badal,Barri,2015,24016
sants,Barri,2015,40703
les corts,Barri,2015,46003
la maternitat i sant ramon,Barri,2015,23810
pedralbes,Barri,2015,11716
vallvidrera el tibidabo i les planes,Barri,2015,4604
sarria,Barri,2015,24640
les tres torres,Barri,2015,16501
sant gervasi la bonanova,Barri,2015,25368
sant gervasi galvany,Barri,2015,46711
el putxet i el farro,Barri,2015,29024
vallcarca i els penitents,Barri,2015,15520
el coll,Barri,2015,7351
la salut,Barri,2015,13220
la vila de gracia,Barri,2015,50441
el camp den grassot i gracia nova,Barri,2015,33913
el baix guinardo,Barri,2015,25474
can baro,Barri,2015,8824
el guinardo,Barri,2015,35784
la font den fargues,Barri,2015,9399
el carmel,Barri,2015,31449
la teixonera,Barri,2015,11360
sant genis dels agudells,Barri,2015,6721
montbau,Barri,2015,5041
la vall dhebron,Barri,2015,5467
la clota,Barri,2015,542
horta,Barri,2015,26469
vilapicina i la torre llobeta,Barri,2015,25444
porta,Barri,2015,24299
el turo de la peira,Barri,2015,15328
can peguera,Barri,2015,2275
la guineueta,Barri,2015,15097
canyelles,Barri,2015,6952
les roquetes,Barri,2015,15400
verdun,Barri,2015,12226
la prosperitat,Barri,2015,25974
la trinitat nova,Barri,2015,7335
torre baro,Barri,2015,2734
ciutat meridiana,Barri,2015,10239
vallbona,Barri,2015,1334
la trinitat vella,Barri,2015,10068
baro de viver,Barri,2015,2482
el bon pastor,Barri,2015,12560
sant andreu,Barri,2015,56491
la sagrera,Barri,2015,28899
el congres i els indians,Barri,2015,14046
navas,Barri,2015,21966
el camp de larpa del clot,Barri,2015,38168
el clot,Barri,2015,26932
el parc i la llacuna del poblenou,Barri,2015,14713
la vila olimpica del poblenou,Barri,2015,9331
el poblenou,Barri,2015,33437
diagonal mar i el front maritim del poblenou,Barri,2015,13374
el besos i el maresme,Barri,2015,22844
provencals del poblenou,Barri,2015,20163
sant marti de provencals,Barri,2015,25971
la verneda i la pau,Barri,2015,28727
el raval,Barri,2016,47196
el barri gotic,Barri,2016,15729
la barceloneta,Barri,2016,15068
sant pere santa caterina i la ribera,Barri,2016,22380
el fort pienc,Barri,2016,31693
la sagrada familia,Barri,2016,51354
la dreta de leixample,Barri,2016,43692
lantiga esquerra de leixample,Barri,2016,41895
la nova esquerra de leixample,Barri,2016,57699
sant antoni,Barri,2016,38235
el poble sec,Barri,2016,40129
la marina del prat vermell,Barri,2016,1146
la marina de port,Barri,2016,30397
la font de la guatlla,Barri,2016,10316
hostafrancs,Barri,2016,15915
la bordeta,Barri,2016,18518
sants badal,Barri,2016,23935
sants,Barri,2016,40831
les corts,Barri,2016,45976
la maternitat i sant ramon,Barri,2016,23868
pedralbes,Barri,2016,11864
vallvidrera el tibidabo i les planes,Barri,2016,4641
sarria,Barri,2016,24810
les tres torres,Barri,2016,16486
sant gervasi la bonanova,Barri,2016,25761
sant gervasi galvany,Barri,2016,47156
el putxet i el farro,Barri,2016,29318
vallcarca i els penitents,Barri,2016,15629
el coll,Barri,2016,7391
la salut,Barri,2016,13123
la vila de gracia,Barri,2016,50670
el camp den grassot i gracia nova,Barri,2016,34275
el baix guinardo,Barri,2016,25563
can baro,Barri,2016,8969
el guinardo,Barri,2016,36176
la font den fargues,Barri,2016,9402
el carmel,Barri,2016,31377
la teixonera,Barri,2016,11281
sant genis dels agudells,Barri,2016,6695
montbau,Barri,2016,5053
la vall dhebron,Barri,2016,5687
la clota,Barri,2016,590
horta,Barri,2016,26597
vilapicina i la torre llobeta,Barri,2016,25522
porta,Barri,2016,24567
el turo de la peira,Barri,2016,15334
can peguera,Barri,2016,2255
la guineueta,Barri,2016,15050
canyelles,Barri,2016,6925
les roquetes,Barri,2016,15410
verdun,Barri,2016,12261
la prosperitat,Barri,2016,26184
la trinitat nova,Barri,2016,7259
torre baro,Barri,2016,2795
ciutat meridiana,Barri,2016,10055
vallbona,Barri,2016,1354
la trinitat vella,Barri,2016,10048
baro de viver,Barri,2016,2511
el bon pastor,Barri,2016,12594
sant andreu,Barri,2016,56695
la sagrera,Barri,2016,28804
el congres i els indians,Barri,2016,14051
navas,Barri,2016,22097
el camp de larpa del clot,Barri,2016,38130
el clot,Barri,2016,26928
el parc i la llacuna del poblenou,Barri,2016,14859
la vila olimpica del poblenou,Barri,2016,9346
el poblenou,Barri,2016,33623
diagonal mar i el front maritim del poblenou,Barri,2016,13416
el besos i el maresme,Barri,2016,22783
provencals del poblenou,Barri,2016,20381
sant marti de provencals,Barri,2016,26031
la verneda i la pau,Barri,2016,28673
el raval,Barri,2017,47901
el barri gotic,Barri,2017,16240
la barceloneta,Barri,2017,15101
sant pere santa caterina i la ribera,Barri,2017,22923
el fort pienc,Barri,2017,32137
la sagrada familia,Barri,2017,51658
la dreta de leixample,Barri,2017,44224
lantiga esquerra de leixample,Barri,2017,42444
la nova esquerra de leixample,Barri,2017,58337
sant antoni,Barri,2017,38470
el poble sec,Barri,2017,40385
la marina del prat vermell,Barri,2017,1151
la marina de port,Barri,2017,30622
la font de la guatlla,Barri,2017,10422
hostafrancs,Barri,2017,15949
la bordeta,Barri,2017,18561
sants badal,Barri,2017,24047
sants,Barri,2017,41244
les corts,Barri,2017,46104
la maternitat i sant ramon,Barri,2017,23980
pedralbes,Barri,2017,12117
vallvidrera el tibidabo i les planes,Barri,2017,4689
sarria,Barri,2017,25106
les tres torres,Barri,2017,16699
sant gervasi la bonanova,Barri,2017,25909
sant gervasi galvany,Barri,2017,47816
el putxet i el farro,Barri,2017,29515
vallcarca i els penitents,Barri,2017,15821
el coll,Barri,2017,7428
la salut,Barri,2017,13207
la vila de gracia,Barri,2017,50885
el camp den grassot i gracia nova,Barri,2017,34431
el baix guinardo,Barri,2017,25734
can baro,Barri,2017,9020
el guinardo,Barri,2017,36538
la font den fargues,Barri,2017,9390
el carmel,Barri,2017,31583
la teixonera,Barri,2017,11634
sant genis dels agudells,Barri,2017,6828
montbau,Barri,2017,5108
la vall dhebron,Barri,2017,5792
la clota,Barri,2017,611
horta,Barri,2017,26743
vilapicina i la torre llobeta,Barri,2017,25618
porta,Barri,2017,25046
el turo de la peira,Barri,2017,15466
can peguera,Barri,2017,2273
la guineueta,Barri,2017,15247
canyelles,Barri,2017,6863
les roquetes,Barri,2017,15631
verdun,Barri,2017,12368
la prosperitat,Barri,2017,26415
la trinitat nova,Barri,2017,7271
torre baro,Barri,2017,2859
ciutat meridiana,Barri,2017,10369
vallbona,Barri,2017,1379
la trinitat vella,Barri,2017,10006
baro de viver,Barri,2017,2539
el bon pastor,Barri,2017,12582
sant andreu,Barri,2017,57223
la sagrera,Barri,2017,29127
el congres i els indians,Barri,2017,14141
navas,Barri,2017,22171
el camp de larpa del clot,Barri,2017,38247
el clot,Barri,2017,27089
el parc i la llacuna del poblenou,Barri,2017,15202
la vila olimpica del poblenou,Barri,2017,9404
el poblenou,Barri,2017,33933
diagonal mar i el front maritim del poblenou,Barri,2017,13670
el besos i el maresme,Barri,2017,23063
provencals del poblenou,Barri,2017,20519
sant marti de provencals,Barri,2017,26187
la verneda i la pau,Barri,2017,28725
el raval,Barri,2018,47514
el barri gotic,Barri,2018,17035
la barceloneta,Barri,2018,14893
sant pere santa caterina i la ribera,Barri,2018,22605
el fort pienc,Barri,2018,32170
la sagrada familia,Barri,2018,51661
la dreta de leixample,Barri,2018,43853
lantiga esquerra de leixample,Barri,2018,42534
la nova esquerra de leixample,Barri,2018,58265
sant antoni,Barri,2018,38356
el poble sec,Barri,2018,39801
la marina del prat vermell,Barri,2018,1161
la marina de port,Barri,2018,30751
la font de la guatlla,Barri,2018,10307
hostafrancs,Barri,2018,15969
la bordeta,Barri,2018,18833
sants badal,Barri,2018,24018
sants,Barri,2018,41370
les corts,Barri,2018,46152
la maternitat i sant ramon,Barri,2018,23984
pedralbes,Barri,2018,12046
vallvidrera el tibidabo i les planes,Barri,2018,4710
sarria,Barri,2018,25116
les tres torres,Barri,2018,16713
sant gervasi la bonanova,Barri,2018,25889
sant gervasi galvany,Barri,2018,47819
el putxet i el farro,Barri,2018,29590
vallcarca i els penitents,Barri,2018,15985
el coll,Barri,2018,7460
la salut,Barri,2018,13260
la vila de gracia,Barri,2018,50421
el camp den grassot i gracia nova,Barri,2018,34663
el baix guinardo,Barri,2018,25793
can baro,Barri,2018,9071
el guinardo,Barri,2018,36890
la font den fargues,Barri,2018,9446
el carmel,Barri,2018,31832
la teixonera,Barri,2018,11650
sant genis dels agudells,Barri,2018,7011
montbau,Barri,2018,5099
la vall dhebron,Barri,2018,5737
la clota,Barri,2018,657
horta,Barri,2018,26867
vilapicina i la torre llobeta,Barri,2018,25675
porta,Barri,2018,25568
el turo de la peira,Barri,2018,15575
can peguera,Barri,2018,2270
