territori,tipus_de_territori,any,superficie_mitja
la bordeta,Barri,2012,
sants badal,Barri,2012,
sants,Barri,2012,
les corts,Barri,2012,
la maternitat i sant ramon,Barri,2012,
pedralbes,Barri,2012,
vallvidrera el tibidabo i les planes,Barri,2012,
sarria,Barri,2012,
les tres torres,Barri,2012,
sant gervasi la bonanova,Barri,2012,
sant gervasi galvany,Barri,2012,
el putxet i el farro,Barri,2012,
vallcarca i els penitents,Barri,2012,
el coll,Barri,2012,
la salut,Barri,2012,
la vila de gracia,Barri,2012,
el camp den grassot i gracia nova,Barri,2012,
el baix guinardo,Barri,2012,
can baro,Barri,2012,
el guinardo,Barri,2012,
la font den fargues,Barri,2012,
el carmel,Barri,2012,
la teixonera,Barri,2012,
sant genis dels agudells,Barri,2012,
montbau,Barri,2012,
la vall dhebron,Barri,2012,
la clota,Barri,2012,
horta,Barri,2012,
vilapicina i la torre llobeta,Barri,2012,
porta,Barri,2012,
el turo de la peira,Barri,2012,
can peguera,Barri,2012,
la guineueta,Barri,2012,
canyelles,Barri,2012,
les roquetes,Barri,2012,
verdun,Barri,2012,
la prosperitat,Barri,2012,
la trinitat nova,Barri,2012,
torre baro,Barri,2012,
ciutat meridiana,Barri,2012,
vallbona,Barri,2012,
la trinitat vella,Barri,2012,
baro de viver,Barri,2012,
el bon pastor,Barri,2012,
sant andreu,Barri,2012,
la sagrera,Barri,2012,
el congres i els indians,Barri,2012,
navas,Barri,2012,
el camp de larpa del clot,Barri,2012,
el clot,Barri,2012,
el parc i la llacuna del poblenou,Barri,2012,
la vila olimpica del poblenou,Barri,2012,
el poblenou,Barri,2012,
diagonal mar i el front maritim del poblenou,Barri,2012,
el besos i el maresme,Barri,2012,
provencals del poblenou,Barri,2012,
sant marti de provencals,Barri,2012,
la verneda i la pau,Barri,2012,
el raval,Barri,2013,
el barri gotic,Barri,2013,
la barceloneta,Barri,2013,
sant pere santa caterina i la ribera,Barri,2013,
el fort pienc,Barri,2013,
la sagrada familia,Barri,2013,
la dreta de leixample,Barri,2013,
lantiga esquerra de leixample,Barri,2013,
la nova esquerra de leixample,Barri,2013,
sant antoni,Barri,2013,
el poble sec,Barri,2013,
la marina del prat vermell,Barri,2013,
la marina de port,Barri,2013,
la font de la guatlla,Barri,2013,
hostafrancs,Barri,2013,
la bordeta,Barri,2013,
sants badal,Barri,2013,
sants,Barri,2013,
les corts,Barri,2013,
la maternitat i sant ramon,Barri,2013,
pedralbes,Barri,2013,
vallvidrera el tibidabo i les planes,Barri,2013,
sarria,Barri,2013,
les tres torres,Barri,2013,
sant gervasi la bonanova,Barri,2013,
sant gervasi galvany,Barri,2013,
el putxet i el farro,Barri,2013,
vallcarca i els penitents,Barri,2013,
el coll,Barri,2013,
la salut,Barri,2013,
la vila de gracia,Barri,2013,
el camp den grassot i gracia nova,Barri,2013,
el baix guinardo,Barri,2013,
can baro,Barri,2013,
el guinardo,Barri,2013,
la font den fargues,Barri,2013,
el carmel,Barri,2013,
la teixonera,Barri,2013,
sant genis dels agudells,Barri,2013,
montbau,Barri,2013,
la vall dhebron,Barri,2013,
la clota,Barri,2013,
horta,Barri,2013,
vilapicina i la torre llobeta,Barri,2013,
porta,Barri,2013,
el turo de la peira,Barri,2013,
can peguera,Barri,2013,
la guineueta,Barri,2013,
canyelles,Barri,2013,
les roquetes,Barri,2013,
verdun,Barri,2013,
la prosperitat,Barri,2013,
la trinitat nova,Barri,2013,
torre baro,Barri,2013,
ciutat meridiana,Barri,2013,
vallbona,Barri,2013,
la trinitat vella,Barri,2013,
baro de viver,Barri,2013,
el bon pastor,Barri,2013,
sant andreu,Barri,2013,
la sagrera,Barri,2013,
el congres i els indians,Barri,2013,
navas,Barri,2013,
el camp de larpa del clot,Barri,2013,
el clot,Barri,2013,
el parc i la llacuna del poblenou,Barri,2013,
la vila olimpica del poblenou,Barri,2013,
el poblenou,Barri,2013,
diagonal mar i el front maritim del poblenou,Barri,2013,
el besos i el maresme,Barri,2013,
provencals del poblenou,Barri,2013,
sant marti de provencals,Barri,2013,
la verneda i la pau,Barri,2013,
el raval,Barri,2014,60.8
el barri gotic,Barri,2014,81.6
la barceloneta,Barri,2014,39.7
sant pere santa caterina i la ribera,Barri,2014,69.7
el fort pienc,Barri,2014,78.1
la sagrada familia,Barri,2014,68.4
la dreta de leixample,Barri,2014,104.7
lantiga esquerra de leixample,Barri,2014,86.8
la nova esquerra de leixample,Barri,2014,74.4
sant antoni,Barri,2014,76.8
el poble sec,Barri,2014,60.3
la marina del prat vermell,Barri,2014,85.8
la marina de port,Barri,2014,69.2
la font de la guatlla,Barri,2014,65.3
hostafrancs,Barri,2014,62.9
la bordeta,Barri,2014,69.6
sants badal,Barri,2014,63.0
sants,Barri,2014,66.0
les corts,Barri,2014,76.1
la maternitat i sant ramon,Barri,2014,76.2
pedralbes,Barri,2014,118.9
vallvidrera el tibidabo i les planes,Barri,2014,112.4
sarria,Barri,2014,83.2
les tres torres,Barri,2014,106.2
sant gervasi la bonanova,Barri,2014,91.4
sant gervasi galvany,Barri,2014,99.9
el putxet i el farro,Barri,2014,76.5
vallcarca i els penitents,Barri,2014,69.7
el coll,Barri,2014,62.4
la salut,Barri,2014,71.3
la vila de gracia,Barri,2014,66.8
el camp den grassot i gracia nova,Barri,2014,70.0
el baix guinardo,Barri,2014,69.3
can baro,Barri,2014,60.2
el guinardo,Barri,2014,66.8
la font den fargues,Barri,2014,75.5
el carmel,Barri,2014,60.1
la teixonera,Barri,2014,62.7
sant genis dels agudells,Barri,2014,73.7
montbau,Barri,2014,62.7
la vall dhebron,Barri,2014,73.5
la clota,Barri,2014,39.3
horta,Barri,2014,66.7
vilapicina i la torre llobeta,Barri,2014,67.6
porta,Barri,2014,63.4
el turo de la peira,Barri,2014,63.5
can peguera,Barri,2014,41.8
la guineueta,Barri,2014,75.7
canyelles,Barri,2014,78.7
les roquetes,Barri,2014,59.0
verdun,Barri,2014,55.2
la prosperitat,Barri,2014,59.3
la trinitat nova,Barri,2014,53.3
torre baro,Barri,2014,72.6
ciutat meridiana,Barri,2014,58.8
vallbona,Barri,2014,70.6
la trinitat vella,Barri,2014,62.6
baro de viver,Barri,2014,58.9
el bon pastor,Barri,2014,63.4
sant andreu,Barri,2014,66.4
la sagrera,Barri,2014,69.3
el congres i els indians,Barri,2014,66.1
navas,Barri,2014,72.4
el camp de larpa del clot,Barri,2014,65.1
el clot,Barri,2014,68.8
el parc i la llacuna del poblenou,Barri,2014,70.9
la vila olimpica del poblenou,Barri,2014,85.3
el poblenou,Barri,2014,66.2
diagonal mar i el front maritim del poblenou,Barri,2014,92.6
el besos i el maresme,Barri,2014,62.3
provencals del poblenou,Barri,2014,70.3
sant marti de provencals,Barri,2014,74.0
la verneda i la pau,Barri,2014,69.7
el raval,Barri,2015,61.1
el barri gotic,Barri,2015,79.5
la barceloneta,Barri,2015,38.2
sant pere santa caterina i la ribera,Barri,2015,64.5
el fort pienc,Barri,2015,74.3
la sagrada familia,Barri,2015,67.7
la dreta de leixample,Barri,2015,98.1
lantiga esquerra de leixample,Barri,2015,86.7
la nova esquerra de leixample,Barri,2015,73.6
sant antoni,Barri,2015,74.4
el poble sec,Barri,2015,58.5
la marina del prat vermell,Barri,2015,63.2
la marina de port,Barri,2015,67.7
la font de la guatlla,Barri,2015,66.9
hostafrancs,Barri,2015,61.0
la bordeta,Barri,2015,68.3
sants badal,Barri,2015,61.5
sants,Barri,2015,63.4
les corts,Barri,2015,76.8
la maternitat i sant ramon,Barri,2015,71.3
pedralbes,Barri,2015,119.8
vallvidrera el tibidabo i les planes,Barri,2015,78.5
sarria,Barri,2015,82.3
les tres torres,Barri,2015,104.4
sant gervasi la bonanova,Barri,2015,89.2
sant gervasi galvany,Barri,2015,100.4
el putxet i el farro,Barri,2015,71.0
vallcarca i els penitents,Barri,2015,68.5
el coll,Barri,2015,59.0
la salut,Barri,2015,68.3
la vila de gracia,Barri,2015,65.1
el camp den grassot i gracia nova,Barri,2015,67.4
el baix guinardo,Barri,2015,64.7
can baro,Barri,2015,58.5
el guinardo,Barri,2015,62.9
la font den fargues,Barri,2015,68.3
el carmel,Barri,2015,59.2
la teixonera,Barri,2015,59.2
sant genis dels agudells,Barri,2015,69.5
montbau,Barri,2015,66.6
la vall dhebron,Barri,2015,74.1
la clota,Barri,2015,61.5
horta,Barri,2015,64.1
vilapicina i la torre llobeta,Barri,2015,65.7
porta,Barri,2015,63.0
el turo de la peira,Barri,2015,63.2
can peguera,Barri,2015,45.2
la guineueta,Barri,2015,68.0
canyelles,Barri,2015,79.7
les roquetes,Barri,2015,56.5
verdun,Barri,2015,53.8
la prosperitat,Barri,2015,57.2
la trinitat nova,Barri,2015,53.2
torre baro,Barri,2015,70.9
ciutat meridiana,Barri,2015,60.8
vallbona,Barri,2015,69.9
la trinitat vella,Barri,2015,57.6
baro de viver,Barri,2015,56.9
el bon pastor,Barri,2015,63.0
sant andreu,Barri,2015,65.4
la sagrera,Barri,2015,68.1
el congres i els indians,Barri,2015,67.9
navas,Barri,2015,72.5
el camp de larpa del clot,Barri,2015,63.6
el clot,Barri,2015,67.2
el parc i la llacuna del poblenou,Barri,2015,68.4
la vila olimpica del poblenou,Barri,2015,87.3
el poblenou,Barri,2015,65.5
diagonal mar i el front maritim del poblenou,Barri,2015,116.5
el besos i el maresme,Barri,2015,62.3
provencals del poblenou,Barri,2015,68.8
sant marti de provencals,Barri,2015,73.7
la verneda i la pau,Barri,2015,69.0
el raval,Barri,2016,59.5
el barri gotic,Barri,2016,76.5
la barceloneta,Barri,2016,38.7
sant pere santa caterina i la ribera,Barri,2016,65.2
el fort pienc,Barri,2016,74.9
la sagrada familia,Barri,2016,67.2
la dreta de leixample,Barri,2016,98.4
lantiga esquerra de leixample,Barri,2016,84.5
la nova esquerra de leixample,Barri,2016,73.9
sant antoni,Barri,2016,75.0
el poble sec,Barri,2016,57.6
la marina del prat vermell,Barri,2016,72.7
la marina de port,Barri,2016,65.9
la font de la guatlla,Barri,2016,66.1
hostafrancs,Barri,2016,62.3
la bordeta,Barri,2016,65.7
sants badal,Barri,2016,62.6
sants,Barri,2016,64.4
les corts,Barri,2016,76.1
la maternitat i sant ramon,Barri,2016,71.0
pedralbes,Barri,2016,117.6
vallvidrera el tibidabo i les planes,Barri,2016,74.7
sarria,Barri,2016,79.4
les tres torres,Barri,2016,101.1
sant gervasi la bonanova,Barri,2016,83.6
sant gervasi galvany,Barri,2016,99.6
el putxet i el farro,Barri,2016,71.0
vallcarca i els penitents,Barri,2016,67.5
el coll,Barri,2016,60.2
la salut,Barri,2016,67.7
la vila de gracia,Barri,2016,64.8
el camp den grassot i gracia nova,Barri,2016,68.4
el baix guinardo,Barri,2016,64.7
can baro,Barri,2016,59.6
el guinardo,Barri,2016,62.9
la font den fargues,Barri,2016,64.9
el carmel,Barri,2016,58.7
la teixonera,Barri,2016,60.1
sant genis dels agudells,Barri,2016,72.6
montbau,Barri,2016,67.7
la vall dhebron,Barri,2016,72.7
la clota,Barri,2016,55.7
horta,Barri,2016,62.3
vilapicina i la torre llobeta,Barri,2016,64.7
porta,Barri,2016,61.6
el turo de la peira,Barri,2016,60.6
can peguera,Barri,2016,50.8
la guineueta,Barri,2016,71.0
canyelles,Barri,2016,78.6
les roquetes,Barri,2016,55.2
verdun,Barri,2016,55.7
la prosperitat,Barri,2016,57.4
la trinitat nova,Barri,2016,54.0
torre baro,Barri,2016,59.5
ciutat meridiana,Barri,2016,58.5
vallbona,Barri,2016,67.6
la trinitat vella,Barri,2016,58.8
baro de viver,Barri,2016,59.6
el bon pastor,Barri,2016,63.4
sant andreu,Barri,2016,64.0
la sagrera,Barri,2016,65.1
el congres i els indians,Barri,2016,65.9
navas,Barri,2016,69.2
el camp de larpa del clot,Barri,2016,63.1
el clot,Barri,2016,66.5
el parc i la llacuna del poblenou,Barri,2016,67.3
la vila olimpica del poblenou,Barri,2016,85.0
el poblenou,Barri,2016,64.3
diagonal mar i el front maritim del poblenou,Barri,2016,129.6
el besos i el maresme,Barri,2016,62.6
provencals del poblenou,Barri,2016,70.2
sant marti de provencals,Barri,2016,72.2
la verneda i la pau,Barri,2016,68.3
el raval,Barri,2017,59.2
el barri gotic,Barri,2017,77.6
la barceloneta,Barri,2017,40.1
sant pere santa caterina i la ribera,Barri,2017,66.1
el fort pienc,Barri,2017,74.0
la sagrada familia,Barri,2017,68.9
la dreta de leixample,Barri,2017,98.1
lantiga esquerra de leixample,Barri,2017,83.9
la nova esquerra de leixample,Barri,2017,73.8
sant antoni,Barri,2017,74.4
el poble sec,Barri,2017,58.4
la marina del prat vermell,Barri,2017,93.3
la marina de port,Barri,2017,70.0
la font de la guatlla,Barri,2017,66.1
hostafrancs,Barri,2017,62.2
la bordeta,Barri,2017,69.1
sants badal,Barri,2017,60.9
sants,Barri,2017,64.3
les corts,Barri,2017,73.2
la maternitat i sant ramon,Barri,2017,73.0
pedralbes,Barri,2017,116.1
vallvidrera el tibidabo i les planes,Barri,2017,80.7
sarria,Barri,2017,82.6
les tres torres,Barri,2017,106.5
sant gervasi la bonanova,Barri,2017,87.0
sant gervasi galvany,Barri,2017,98.6
el putxet i el farro,Barri,2017,69.6
vallcarca i els penitents,Barri,2017,68.8
el coll,Barri,2017,62.6
la salut,Barri,2017,68.9
la vila de gracia,Barri,2017,63.4
el camp den grassot i gracia nova,Barri,2017,67.6
el baix guinardo,Barri,2017,65.0
can baro,Barri,2017,59.8
el guinardo,Barri,2017,63.6
la font den fargues,Barri,2017,67.2
el carmel,Barri,2017,57.4
la teixonera,Barri,2017,61.1
sant genis dels agudells,Barri,2017,72.1
montbau,Barri,2017,64.7
la vall dhebron,Barri,2017,72.9
la clota,Barri,2017,49.3
horta,Barri,2017,64.1
vilapicina i la torre llobeta,Barri,2017,66.1
porta,Barri,2017,63.2
el turo de la peira,Barri,2017,60.0
can peguera,Barri,2017,48.7
la guineueta,Barri,2017,69.0
canyelles,Barri,2017,79.9
les roquetes,Barri,2017,55.9
verdun,Barri,2017,56.2
la prosperitat,Barri,2017,58.8
la trinitat nova,Barri,2017,53.2
torre baro,Barri,2017,66.4
ciutat meridiana,Barri,2017,58.5
vallbona,Barri,2017,81.4
la trinitat vella,Barri,2017,57.8
baro de viver,Barri,2017,72.9
el bon pastor,Barri,2017,67.4
sant andreu,Barri,2017,64.3
la sagrera,Barri,2017,62.7
el congres i els indians,Barri,2017,67.4
navas,Barri,2017,71.3
el camp de larpa del clot,Barri,2017,63.6
el clot,Barri,2017,66.1
el parc i la llacuna del poblenou,Barri,2017,69.4
la vila olimpica del poblenou,Barri,2017,83.3
el poblenou,Barri,2017,66.7
diagonal mar i el front maritim del poblenou,Barri,2017,94.4
el besos i el maresme,Barri,2017,62.4
provencals del poblenou,Barri,2017,72.0
sant marti de provencals,Barri,2017,72.3
la verneda i la pau,Barri,2017,69.9
el raval,Barri,2018,63.2
el barri gotic,Barri,2018,81.2
la barceloneta,Barri,2018,58.8
sant pere santa caterina i la ribera,Barri,2018,71.2
el fort pienc,Barri,2018,76.1
la sagrada familia,Barri,2018,69.0
la dreta de leixample,Barri,2018,98.8
lantiga esquerra de leixample,Barri,2018,84.4
la nova esquerra de leixample,Barri,2018,74.0
sant antoni,Barri,2018,75.5
el poble sec,Barri,2018,60.2
la marina del prat vermell,Barri,2018,89.3
la marina de port,Barri,2018,71.3
la font de la guatlla,Barri,2018,68.5
hostafrancs,Barri,2018,62.0
la bordeta,Barri,2018,67.6
sants badal,Barri,2018,62.8
sants,Barri,2018,66.2
les corts,Barri,2018,73.8
la maternitat i sant ramon,Barri,2018,74.3
pedralbes,Barri,2018,115.8
vallvidrera el tibidabo i les planes,Barri,2018,77.3
sarria,Barri,2018,83.0
les tres torres,Barri,2018,101.4
sant gervasi la bonanova,Barri,2018,87.6
sant gervasi galvany,Barri,2018,98.3
el putxet i el farro,Barri,2018,72.9
vallcarca i els penitents,Barri,2018,71.6
el coll,Barri,2018,63.8
la salut,Barri,2018,71.5
la vila de gracia,Barri,2018,66.5
el camp den grassot i gracia nova,Barri,2018,69.2
el baix guinardo,Barri,2018,68.8
can baro,Barri,2018,62.7
el guinardo,Barri,2018,66.4
la font den fargues,Barri,2018,70.8
el carmel,Barri,2018,59.2
la teixonera,Barri,2018,60.4
sant genis dels agudells,Barri,2018,69.7
montbau,Barri,2018,68.7
la vall dhebron,Barri,2018,74.4
la clota,Barri,2018,65.1
horta,Barri,2018,65.9
vilapicina i la torre llobeta,Barri,2018,66.8
porta,Barri,2018,63.5
el turo de la peira,Barri,2018,61.3
can peguera,Barri,2018,55.5
la guineueta,Barri,2018,71.7
canyelles,Barri,2018,79.6
les roquetes,Barri,2018,55.9
verdun,Barri,2018,55.6
la prosperitat,Barri,2018,58.2
la trinitat nova,Barri,2018,50.3
torre baro,Barri,2018,59.6
ciutat meridiana,Barri,2018,58.6
vallbona,Barri,2018,72.3
la trinitat vella,Barri,2018,60.4
baro de viver,Barri,2018,79.1
el bon pastor,Barri,2018,64.9
sant andreu,Barri,2018,66.5
la sagrera,Barri,2018,67.6
el congres i els indians,Barri,2018,68.0
navas,Barri,2018,69.8
el camp de larpa del clot,Barri,2018,64.9
el clot,Barri,2018,70.6
el parc i la llacuna del poblenou,Barri,2018,70.5
la vila olimpica del poblenou,Barri,2018,83.5
el poblenou,Barri,2018,69.4
diagonal mar i el front maritim del poblenou,Barri,2018,72.9
el besos i el maresme,Barri,2018,64.5
provencals del poblenou,Barri,2018,70.7
sant marti de provencals,Barri,2018,72.3
la verneda i la pau,Barri,2018,67.7
el raval,Barri,2019,64.3
el barri gotic,Barri,2019,83.2
la barceloneta,Barri,2019,55.3
sant pere santa caterina i la ribera,Barri,2019,72.3
el fort pienc,Barri,2019,76.4
la sagrada familia,Barri,2019,68.7
la dreta de leixample,Barri,2019,99.3
lantiga esquerra de leixample,Barri,2019,86.6
la nova esquerra de leixample,Barri,2019,76.4
sant antoni,Barri,2019,76.6
el poble sec,Barri,2019,60.2
la marina del prat vermell,Barri,2019,53.0
la marina de port,Barri,2019,71.8
la font de la guatlla,Barri,2019,68.5
hostafrancs,Barri,2019,63.7
la bordeta,Barri,2019,68.7
sants badal,Barri,2019,63.0
sants,Barri,2019,66.7
les corts,Barri,2019,77.0
la maternitat i sant ramon,Barri,2019,74.7
pedralbes,Barri,2019,120.1
vallvidrera el tibidabo i les planes,Barri,2019,82.4
sarria,Barri,2019,84.6
les tres torres,Barri,2019,104.9
sant gervasi la bonanova,Barri,2019,87.6
sant gervasi galvany,Barri,2019,99.4
el putxet i el farro,Barri,2019,77.6
vallcarca i els penitents,Barri,2019,73.1
el coll,Barri,2019,66.0
la salut,Barri,2019,72.7
la vila de gracia,Barri,2019,68.0
el camp den grassot i gracia nova,Barri,2019,69.5
el baix guinardo,Barri,2019,69.1
can baro,Barri,2019,60.1
el guinardo,Barri,2019,66.1
la font den fargues,Barri,2019,70.7
el carmel,Barri,2019,59.3
la teixonera,Barri,2019,60.9
sant genis dels agudells,Barri,2019,71.7
montbau,Barri,2019,69.3
la vall dhebron,Barri,2019,69.1
la clota,Barri,2019,64.4
horta,Barri,2019,65.6
vilapicina i la torre llobeta,Barri,2019,66.6
porta,Barri,2019,63.3
el turo de la peira,Barri,2019,61.1
can peguera,Barri,2019,55.3
la guineueta,Barri,2019,71.4
canyelles,Barri,2019,80.6
les roquetes,Barri,2019,58.8
verdun,Barri,2019,57.2
la prosperitat,Barri,2019,58.8
la trinitat nova,Barri,2019,52.3
torre baro,Barri,2019,63.4
ciutat meridiana,Barri,2019,59.3
vallbona,Barri,2019,73.4
la trinitat vella,Barri,2019,61.2
baro de viver,Barri,2019,71.4
el bon pastor,Barri,2019,67.4
sant andreu,Barri,2019,67.1
la sagrera,Barri,2019,66.8
el congres i els indians,Barri,2019,68.0
navas,Barri,2019,71.2
el camp de larpa del clot,Barri,2019,66.0
el clot,Barri,2019,68.4
el parc i la llacuna del poblenou,Barri,2019,69.3
la vila olimpica del poblenou,Barri,2019,86.3
el poblenou,Barri,2019,69.1
diagonal mar i el front maritim del poblenou,Barri,2019,92.5
el besos i el maresme,Barri,2019,64.4
provencals del poblenou,Barri,2019,71.1
sant marti de provencals,Barri,2019,72.4
la verneda i la pau,Barri,2019,69.6
el raval,Barri,2020,63.5
el barri gotic,Barri,2020,82.3
la barceloneta,Barri,2020,52.6
sant pere santa caterina i la ribera,Barri,2020,71.4
el fort pienc,Barri,2020,75.8
la sagrada familia,Barri,2020,68.7
la dreta de leixample,Barri,2020,98.9
lantiga esquerra de leixample,Barri,2020,86.4
la nova esquerra de leixample,Barri,2020,75.2
sant antoni,Barri,2020,73.7
el poble sec,Barri,2020,60.1
la marina del prat vermell,Barri,2020,64.0
la marina de port,Barri,2020,71.6
la font de la guatlla,Barri,2020,67.0
hostafrancs,Barri,2020,64.5
la bordeta,Barri,2020,68.3
sants badal,Barri,2020,62.9
sants,Barri,2020,66.1
les corts,Barri,2020,75.1
la maternitat i sant ramon,Barri,2020,73.2
pedralbes,Barri,2020,117.5
vallvidrera el tibidabo i les planes,Barri,2020,96.0
sarria,Barri,2020,84.1
les tres torres,Barri,2020,110.3
sant gervasi la bonanova,Barri,2020,93.0
sant gervasi galvany,Barri,2020,98.1
el putxet i el farro,Barri,2020,76.1
vallcarca i els penitents,Barri,2020,73.5
el coll,Barri,2020,67.3
la salut,Barri,2020,74.7
la vila de gracia,Barri,2020,68.1
el camp den grassot i gracia nova,Barri,2020,70.5
el baix guinardo,Barri,2020,68.2
can baro,Barri,2020,62.5
el guinardo,Barri,2020,65.0
la font den fargues,Barri,2020,73.2
el carmel,Barri,2020,59.4
la teixonera,Barri,2020,61.4
sant genis dels agudells,Barri,2020,70.5
montbau,Barri,2020,68.2
la vall dhebron,Barri,2020,78.5
la clota,Barri,2020,61.8
horta,Barri,2020,64.6
vilapicina i la torre llobeta,Barri,2020,67.2
porta,Barri,2020,61.8
el turo de la peira,Barri,2020,61.6
can peguera,Barri,2020,
la guineueta,Barri,2020,70.0
canyelles,Barri,2020,80.9
les roquetes,Barri,2020,57.7
verdun,Barri,2020,56.4
la prosperitat,Barri,2020,58.3
la trinitat nova,Barri,2020,51.8
torre baro,Barri,2020,64.3
ciutat meridiana,Barri,2020,58.6
vallbona,Barri,2020,76.0
la trinitat vella,Barri,2020,61.7
baro de viver,Barri,2020,76.8
el bon pastor,Barri,2020,64.3
sant andreu,Barri,2020,67.6
la sagrera,Barri,2020,65.2
el congres i els indians,Barri,2020,67.8
navas,Barri,2020,70.5
el camp de larpa del clot,Barri,2020,66.5
el clot,Barri,2020,68.5
el parc i la llacuna del poblenou,Barri,2020,70.2
la vila olimpica del poblenou,Barri,2020,88.9
el poblenou,Barri,2020,69.3
diagonal mar i el front maritim del poblenou,Barri,2020,82.7
el besos i el maresme,Barri,2020,63.5
provencals del poblenou,Barri,2020,70.5
sant marti de provencals,Barri,2020,72.8
la verneda i la pau,Barri,2020,68.6
el raval,Barri,2021,63.5
el barri gotic,Barri,2021,83.4
la barceloneta,Barri,2021,56.3
sant pere santa caterina i la ribera,Barri,2021,71.9
el fort pienc,Barri,2021,75.6
la sagrada familia,Barri,2021,69.2
la dreta de leixample,Barri,2021,98.6
lantiga esquerra de leixample,Barri,2021,84.7
la nova esquerra de leixample,Barri,2021,74.9
sant antoni,Barri,2021,76.6
el poble sec,Barri,2021,59.6
la marina del prat vermell,Barri,2021,80.7
la marina de port,Barri,2021,70.6
la font de la guatlla,Barri,2021,67.3
hostafrancs,Barri,2021,63.5
la bordeta,Barri,2021,70.2
sants badal,Barri,2021,62.4
sants,Barri,2021,66.2
les corts,Barri,2021,76.4
la maternitat i sant ramon,Barri,2021,73.7
pedralbes,Barri,2021,116.0
vallvidrera el tibidabo i les planes,Barri,2021,79.0
sarria,Barri,2021,86.2
les tres torres,Barri,2021,103.1
sant gervasi la bonanova,Barri,2021,86.6
sant gervasi galvany,Barri,2021,101.2
el putxet i el farro,Barri,2021,75.6
vallcarca i els penitents,Barri,2021,71.2
el coll,Barri,2021,63.5
la salut,Barri,2021,72.9
la vila de gracia,Barri,2021,67.3
el camp den grassot i gracia nova,Barri,2021,67.9
el baix guinardo,Barri,2021,67.9
can baro,Barri,2021,62.1
el guinardo,Barri,2021,66.6
la font den fargues,Barri,2021,70.5
el carmel,Barri,2021,59.3
la teixonera,Barri,2021,61.3
sant genis dels agudells,Barri,2021,69.8
montbau,Barri,2021,68.3
la vall dhebron,Barri,2021,73.3
la clota,Barri,2021,77.3
horta,Barri,2021,64.6
vilapicina i la torre llobeta,Barri,2021,67.8
porta,Barri,2021,64.3
el turo de la peira,Barri,2021,62.0
can peguera,Barri,2021,46.7
la guineueta,Barri,2021,69.6
canyelles,Barri,2021,81.5
les roquetes,Barri,2021,57.4
verdun,Barri,2021,54.9
la prosperitat,Barri,2021,59.0
la trinitat nova,Barri,2021,53.0
torre baro,Barri,2021,62.8
ciutat meridiana,Barri,2021,59.5
vallbona,Barri,2021,85.0
la trinitat vella,Barri,2021,61.0
baro de viver,Barri,2021,68.4
el bon pastor,Barri,2021,64.8
sant andreu,Barri,2021,67.6
la sagrera,Barri,2021,65.6
el congres i els indians,Barri,2021,68.4
navas,Barri,2021,71.3
el camp de larpa del clot,Barri,2021,65.8
el clot,Barri,2021,68.0
el parc i la llacuna del poblenou,Barri,2021,69.6
la vila olimpica del poblenou,Barri,2021,86.3
el poblenou,Barri,2021,68.2
diagonal mar i el front maritim del poblenou,Barri,2021,84.8
el besos i el maresme,Barri,2021,64.1
provencals del poblenou,Barri,2021,72.2
sant marti de provencals,Barri,2021,72.1
la verneda i la pau,Barri,2021,68.6
el raval,Barri,2022,65.0
el barri gotic,Barri,2022,81.4
la barceloneta,Barri,2022,56.1
sant pere santa caterina i la ribera,Barri,2022,72.6
el fort pienc,Barri,2022,76.7
la sagrada familia,Barri,2022,69.3
la dreta de leixample,Barri,2022,100.3
lantiga esquerra de leixample,Barri,2022,84.6
la nova esquerra de leixample,Barri,2022,74.9
sant antoni,Barri,2022,77.0
el poble sec,Barri,2022,60.1
la marina del prat vermell,Barri,2022,96.0
la marina de port,Barri,2022,68.0
la font de la guatlla,Barri,2022,68.1
hostafrancs,Barri,2022,64.7
la bordeta,Barri,2022,69.9
sants badal,Barri,2022,62.4
sants,Barri,2022,67.4
les corts,Barri,2022,77.3
la maternitat i sant ramon,Barri,2022,75.1
pedralbes,Barri,2022,120.9
vallvidrera el tibidabo i les planes,Barri,2022,73.2
sarria,Barri,2022,81.5
les tres torres,Barri,2022,106.0
sant gervasi la bonanova,Barri,2022,92.5
sant gervasi galvany,Barri,2022,101.6
el putxet i el farro,Barri,2022,74.3
vallcarca i els penitents,Barri,2022,72.2
el coll,Barri,2022,65.3
la salut,Barri,2022,72.8
la vila de gracia,Barri,2022,67.8
el camp den grassot i gracia nova,Barri,2022,69.3
el baix guinardo,Barri,2022,67.2
can baro,Barri,2022,61.8
el guinardo,Barri,2022,66.1
la font den fargues,Barri,2022,67.4
el carmel,Barri,2022,59.3
la teixonera,Barri,2022,61.3
sant genis dels agudells,Barri,2022,70.6
montbau,Barri,2022,69.2
la vall dhebron,Barri,2022,70.1
la clota,Barri,2022,67.0
horta,Barri,2022,66.4
vilapicina i la torre llobeta,Barri,2022,66.6
porta,Barri,2022,63.5
el turo de la peira,Barri,2022,62.3
can peguera,Barri,2022,52.0
la guineueta,Barri,2022,70.6
canyelles,Barri,2022,83.7
les roquetes,Barri,2022,56.3
verdun,Barri,2022,55.1
la prosperitat,Barri,2022,59.8
la trinitat nova,Barri,2022,51.5
torre baro,Barri,2022,53.2
ciutat meridiana,Barri,2022,58.6
vallbona,Barri,2022,81.0
la trinitat vella,Barri,2022,61.5
