territori,tipus_de_territori,any,preu_lloguer
la marina del prat vermell,Barri,2012,
la marina de port,Barri,2012,
la font de la guatlla,Barri,2012,
hostafrancs,Barri,2012,
la bordeta,Barri,2012,
sants badal,Barri,2012,
sants,Barri,2012,
les corts,Barri,2012,
la maternitat i sant ramon,Barri,2012,
pedralbes,Barri,2012,
vallvidrera el tibidabo i les planes,Barri,2012,
sarria,Barri,2012,
les tres torres,Barri,2012,
sant gervasi la bonanova,Barri,2012,
sant gervasi galvany,Barri,2012,
el putxet i el farro,Barri,2012,
vallcarca i els penitents,Barri,2012,
el coll,Barri,2012,
la salut,Barri,2012,
la vila de gracia,Barri,2012,
el camp den grassot i gracia nova,Barri,2012,
el baix guinardo,Barri,2012,
can baro,Barri,2012,
el guinardo,Barri,2012,
la font den fargues,Barri,2012,
el carmel,Barri,2012,
la teixonera,Barri,2012,
sant genis dels agudells,Barri,2012,
montbau,Barri,2012,
la vall dhebron,Barri,2012,
la clota,Barri,2012,
horta,Barri,2012,
vilapicina i la torre llobeta,Barri,2012,
porta,Barri,2012,
el turo de la peira,Barri,2012,
can peguera,Barri,2012,
la guineueta,Barri,2012,
canyelles,Barri,2012,
les roquetes,Barri,2012,
verdun,Barri,2012,
la prosperitat,Barri,2012,
la trinitat nova,Barri,2012,
torre baro,Barri,2012,
ciutat meridiana,Barri,2012,
vallbona,Barri,2012,
la trinitat vella,Barri,2012,
baro de viver,Barri,2012,
el bon pastor,Barri,2012,
sant andreu,Barri,2012,
la sagrera,Barri,2012,
el congres i els indians,Barri,2012,
navas,Barri,2012,
el camp de larpa del clot,Barri,2012,
el clot,Barri,2012,
el parc i la llacuna del poblenou,Barri,2012,
la vila olimpica del poblenou,Barri,2012,
el poblenou,Barri,2012,
diagonal mar i el front maritim del poblenou,Barri,2012,
el besos i el maresme,Barri,2012,
provencals del poblenou,Barri,2012,
sant marti de provencals,Barri,2012,
la verneda i la pau,Barri,2012,
el raval,Barri,2013,
el barri gotic,Barri,2013,
la barceloneta,Barri,2013,
sant pere santa caterina i la ribera,Barri,2013,
el fort pienc,Barri,2013,
la sagrada familia,Barri,2013,
la dreta de leixample,Barri,2013,
lantiga esquerra de leixample,Barri,2013,
la nova esquerra de leixample,Barri,2013,
sant antoni,Barri,2013,
el poble sec,Barri,2013,
la marina del prat vermell,Barri,2013,
la marina de port,Barri,2013,
la font de la guatlla,Barri,2013,
hostafrancs,Barri,2013,
la bordeta,Barri,2013,
sants badal,Barri,2013,
sants,Barri,2013,
les corts,Barri,2013,
la maternitat i sant ramon,Barri,2013,
pedralbes,Barri,2013,
vallvidrera el tibidabo i les planes,Barri,2013,
sarria,Barri,2013,
les tres torres,Barri,2013,
sant gervasi la bonanova,Barri,2013,
sant gervasi galvany,Barri,2013,
el putxet i el farro,Barri,2013,
vallcarca i els penitents,Barri,2013,
el coll,Barri,2013,
la salut,Barri,2013,
la vila de gracia,Barri,2013,
el camp den grassot i gracia nova,Barri,2013,
el baix guinardo,Barri,2013,
can baro,Barri,2013,
el guinardo,Barri,2013,
la font den fargues,Barri,2013,
el carmel,Barri,2013,
la teixonera,Barri,2013,
sant genis dels agudells,Barri,2013,
montbau,Barri,2013,
la vall dhebron,Barri,2013,
la clota,Barri,2013,
horta,Barri,2013,
vilapicina i la torre llobeta,Barri,2013,
porta,Barri,2013,
el turo de la peira,Barri,2013,
can peguera,Barri,2013,
la guineueta,Barri,2013,
canyelles,Barri,2013,
les roquetes,Barri,2013,
verdun,Barri,2013,
la prosperitat,Barri,2013,
la trinitat nova,Barri,2013,
torre baro,Barri,2013,
ciutat meridiana,Barri,2013,
vallbona,Barri,2013,
la trinitat vella,Barri,2013,
baro de viver,Barri,2013,
el bon pastor,Barri,2013,
sant andreu,Barri,2013,
la sagrera,Barri,2013,
el congres i els indians,Barri,2013,
navas,Barri,2013,
el camp de larpa del clot,Barri,2013,
el clot,Barri,2013,
el parc i la llacuna del poblenou,Barri,2013,
la vila olimpica del poblenou,Barri,2013,
el poblenou,Barri,2013,
diagonal mar i el front maritim del poblenou,Barri,2013,
el besos i el maresme,Barri,2013,
provencals del poblenou,Barri,2013,
sant marti de provencals,Barri,2013,
la verneda i la pau,Barri,2013,
el raval,Barri,2014,105.0
el barri gotic,Barri,2014,105.0
la barceloneta,Barri,2014,152.0
sant pere santa caterina i la ribera,Barri,2014,112.0
el fort pienc,Barri,2014,100.0
la sagrada familia,Barri,2014,105.0
la dreta de leixample,Barri,2014,101.0
lantiga esquerra de leixample,Barri,2014,105.0
la nova esquerra de leixample,Barri,2014,104.0
sant antoni,Barri,2014,100.0
el poble sec,Barri,2014,102.0
la marina del prat vermell,Barri,2014,54.0
la marina de port,Barri,2014,80.0
la font de la guatlla,Barri,2014,106.0
hostafrancs,Barri,2014,103.0
la bordeta,Barri,2014,93.0
sants badal,Barri,2014,99.0
sants,Barri,2014,101.0
les corts,Barri,2014,111.0
la maternitat i sant ramon,Barri,2014,104.0
pedralbes,Barri,2014,123.0
vallvidrera el tibidabo i les planes,Barri,2014,106.0
sarria,Barri,2014,136.0
les tres torres,Barri,2014,135.0
sant gervasi la bonanova,Barri,2014,116.0
sant gervasi galvany,Barri,2014,117.0
el putxet i el farro,Barri,2014,110.0
vallcarca i els penitents,Barri,2014,103.0
el coll,Barri,2014,95.0
la salut,Barri,2014,100.0
la vila de gracia,Barri,2014,113.0
el camp den grassot i gracia nova,Barri,2014,104.0
el baix guinardo,Barri,2014,96.0
can baro,Barri,2014,94.0
el guinardo,Barri,2014,92.0
la font den fargues,Barri,2014,93.0
el carmel,Barri,2014,86.0
la teixonera,Barri,2014,84.0
sant genis dels agudells,Barri,2014,78.0
montbau,Barri,2014,93.0
la vall dhebron,Barri,2014,100.0
la clota,Barri,2014,105.0
horta,Barri,2014,89.0
vilapicina i la torre llobeta,Barri,2014,88.0
porta,Barri,2014,86.0
el turo de la peira,Barri,2014,78.0
can peguera,Barri,2014,53.0
la guineueta,Barri,2014,82.0
canyelles,Barri,2014,70.0
les roquetes,Barri,2014,83.0
verdun,Barri,2014,92.0
la prosperitat,Barri,2014,89.0
la trinitat nova,Barri,2014,85.0
torre baro,Barri,2014,59.0
ciutat meridiana,Barri,2014,64.0
vallbona,Barri,2014,43.0
la trinitat vella,Barri,2014,70.0
baro de viver,Barri,2014,39.0
el bon pastor,Barri,2014,81.0
sant andreu,Barri,2014,92.0
la sagrera,Barri,2014,91.0
el congres i els indians,Barri,2014,92.0
navas,Barri,2014,89.0
el camp de larpa del clot,Barri,2014,97.0
el clot,Barri,2014,96.0
el parc i la llacuna del poblenou,Barri,2014,102.0
la vila olimpica del poblenou,Barri,2014,132.0
el poblenou,Barri,2014,106.0
diagonal mar i el front maritim del poblenou,Barri,2014,112.0
el besos i el maresme,Barri,2014,77.0
provencals del poblenou,Barri,2014,97.0
sant marti de provencals,Barri,2014,89.0
la verneda i la pau,Barri,2014,83.0
el raval,Barri,2015,111.0
el barri gotic,Barri,2015,112.0
la barceloneta,Barri,2015,163.0
sant pere santa caterina i la ribera,Barri,2015,127.0
el fort pienc,Barri,2015,109.0
la sagrada familia,Barri,2015,111.0
la dreta de leixample,Barri,2015,113.0
lantiga esquerra de leixample,Barri,2015,114.0
la nova esquerra de leixample,Barri,2015,113.0
sant antoni,Barri,2015,110.0
el poble sec,Barri,2015,111.0
la marina del prat vermell,Barri,2015,66.0
la marina de port,Barri,2015,84.0
la font de la guatlla,Barri,2015,113.0
hostafrancs,Barri,2015,111.0
la bordeta,Barri,2015,98.0
sants badal,Barri,2015,107.0
sants,Barri,2015,110.0
les corts,Barri,2015,118.0
la maternitat i sant ramon,Barri,2015,114.0
pedralbes,Barri,2015,141.0
vallvidrera el tibidabo i les planes,Barri,2015,121.0
sarria,Barri,2015,145.0
les tres torres,Barri,2015,140.0
sant gervasi la bonanova,Barri,2015,128.0
sant gervasi galvany,Barri,2015,127.0
el putxet i el farro,Barri,2015,123.0
vallcarca i els penitents,Barri,2015,116.0
el coll,Barri,2015,99.0
la salut,Barri,2015,113.0
la vila de gracia,Barri,2015,123.0
el camp den grassot i gracia nova,Barri,2015,113.0
el baix guinardo,Barri,2015,106.0
can baro,Barri,2015,101.0
el guinardo,Barri,2015,104.0
la font den fargues,Barri,2015,114.0
el carmel,Barri,2015,91.0
la teixonera,Barri,2015,95.0
sant genis dels agudells,Barri,2015,83.0
montbau,Barri,2015,101.0
la vall dhebron,Barri,2015,101.0
la clota,Barri,2015,80.0
horta,Barri,2015,95.0
vilapicina i la torre llobeta,Barri,2015,93.0
porta,Barri,2015,91.0
el turo de la peira,Barri,2015,83.0
can peguera,Barri,2015,58.0
la guineueta,Barri,2015,82.0
canyelles,Barri,2015,72.0
les roquetes,Barri,2015,87.0
verdun,Barri,2015,91.0
la prosperitat,Barri,2015,96.0
la trinitat nova,Barri,2015,88.0
torre baro,Barri,2015,61.0
ciutat meridiana,Barri,2015,66.0
vallbona,Barri,2015,67.0
la trinitat vella,Barri,2015,80.0
baro de viver,Barri,2015,48.0
el bon pastor,Barri,2015,88.0
sant andreu,Barri,2015,100.0
la sagrera,Barri,2015,97.0
el congres i els indians,Barri,2015,95.0
navas,Barri,2015,97.0
el camp de larpa del clot,Barri,2015,106.0
el clot,Barri,2015,103.0
el parc i la llacuna del poblenou,Barri,2015,115.0
la vila olimpica del poblenou,Barri,2015,143.0
el poblenou,Barri,2015,117.0
diagonal mar i el front maritim del poblenou,Barri,2015,125.0
el besos i el maresme,Barri,2015,84.0
provencals del poblenou,Barri,2015,100.0
sant marti de provencals,Barri,2015,94.0
la verneda i la pau,Barri,2015,91.0
el raval,Barri,2016,123.0
el barri gotic,Barri,2016,130.0
la barceloneta,Barri,2016,182.0
sant pere santa caterina i la ribera,Barri,2016,141.0
el fort pienc,Barri,2016,118.0
la sagrada familia,Barri,2016,122.0
la dreta de leixample,Barri,2016,129.0
lantiga esquerra de leixample,Barri,2016,127.0
la nova esquerra de leixample,Barri,2016,124.0
sant antoni,Barri,2016,121.0
el poble sec,Barri,2016,123.0
la marina del prat vermell,Barri,2016,59.0
la marina de port,Barri,2016,89.0
la font de la guatlla,Barri,2016,120.0
hostafrancs,Barri,2016,122.0
la bordeta,Barri,2016,108.0
sants badal,Barri,2016,117.0
sants,Barri,2016,119.0
les corts,Barri,2016,130.0
la maternitat i sant ramon,Barri,2016,129.0
pedralbes,Barri,2016,146.0
vallvidrera el tibidabo i les planes,Barri,2016,151.0
sarria,Barri,2016,159.0
les tres torres,Barri,2016,156.0
sant gervasi la bonanova,Barri,2016,142.0
sant gervasi galvany,Barri,2016,138.0
el putxet i el farro,Barri,2016,137.0
vallcarca i els penitents,Barri,2016,127.0
el coll,Barri,2016,112.0
la salut,Barri,2016,121.0
la vila de gracia,Barri,2016,135.0
el camp den grassot i gracia nova,Barri,2016,125.0
el baix guinardo,Barri,2016,114.0
can baro,Barri,2016,115.0
el guinardo,Barri,2016,111.0
la font den fargues,Barri,2016,119.0
el carmel,Barri,2016,98.0
la teixonera,Barri,2016,102.0
sant genis dels agudells,Barri,2016,87.0
montbau,Barri,2016,103.0
la vall dhebron,Barri,2016,112.0
la clota,Barri,2016,123.0
horta,Barri,2016,106.0
vilapicina i la torre llobeta,Barri,2016,105.0
porta,Barri,2016,100.0
el turo de la peira,Barri,2016,95.0
can peguera,Barri,2016,81.0
la guineueta,Barri,2016,88.0
canyelles,Barri,2016,80.0
les roquetes,Barri,2016,94.0
verdun,Barri,2016,101.0
la prosperitat,Barri,2016,103.0
la trinitat nova,Barri,2016,86.0
torre baro,Barri,2016,74.0
ciutat meridiana,Barri,2016,70.0
vallbona,Barri,2016,79.0
la trinitat vella,Barri,2016,85.0
baro de viver,Barri,2016,35.0
el bon pastor,Barri,2016,87.0
sant andreu,Barri,2016,109.0
la sagrera,Barri,2016,105.0
el congres i els indians,Barri,2016,104.0
navas,Barri,2016,108.0
el camp de larpa del clot,Barri,2016,117.0
el clot,Barri,2016,112.0
el parc i la llacuna del poblenou,Barri,2016,128.0
la vila olimpica del poblenou,Barri,2016,162.0
el poblenou,Barri,2016,128.0
diagonal mar i el front maritim del poblenou,Barri,2016,139.0
el besos i el maresme,Barri,2016,88.0
provencals del poblenou,Barri,2016,118.0
sant marti de provencals,Barri,2016,100.0
la verneda i la pau,Barri,2016,91.0
el raval,Barri,2017,139.0
el barri gotic,Barri,2017,142.0
la barceloneta,Barri,2017,198.0
sant pere santa caterina i la ribera,Barri,2017,157.0
el fort pienc,Barri,2017,131.0
la sagrada familia,Barri,2017,133.0
la dreta de leixample,Barri,2017,135.0
lantiga esquerra de leixample,Barri,2017,137.0
la nova esquerra de leixample,Barri,2017,135.0
sant antoni,Barri,2017,130.0
el poble sec,Barri,2017,137.0
la marina del prat vermell,Barri,2017,
la marina de port,Barri,2017,104.0
la font de la guatlla,Barri,2017,130.0
hostafrancs,Barri,2017,129.0
la bordeta,Barri,2017,119.0
sants badal,Barri,2017,131.0
sants,Barri,2017,132.0
les corts,Barri,2017,143.0
la maternitat i sant ramon,Barri,2017,134.0
pedralbes,Barri,2017,162.0
vallvidrera el tibidabo i les planes,Barri,2017,166.0
sarria,Barri,2017,175.0
les tres torres,Barri,2017,169.0
sant gervasi la bonanova,Barri,2017,154.0
sant gervasi galvany,Barri,2017,146.0
el putxet i el farro,Barri,2017,149.0
vallcarca i els penitents,Barri,2017,141.0
el coll,Barri,2017,125.0
la salut,Barri,2017,123.0
la vila de gracia,Barri,2017,150.0
el camp den grassot i gracia nova,Barri,2017,136.0
el baix guinardo,Barri,2017,126.0
can baro,Barri,2017,124.0
el guinardo,Barri,2017,123.0
la font den fargues,Barri,2017,131.0
el carmel,Barri,2017,110.0
la teixonera,Barri,2017,112.0
sant genis dels agudells,Barri,2017,95.0
montbau,Barri,2017,125.0
la vall dhebron,Barri,2017,122.0
la clota,Barri,2017,151.0
horta,Barri,2017,117.0
vilapicina i la torre llobeta,Barri,2017,114.0
porta,Barri,2017,108.0
el turo de la peira,Barri,2017,106.0
can peguera,Barri,2017,112.0
la guineueta,Barri,2017,94.0
canyelles,Barri,2017,86.0
les roquetes,Barri,2017,102.0
verdun,Barri,2017,111.0
la prosperitat,Barri,2017,113.0
la trinitat nova,Barri,2017,107.0
torre baro,Barri,2017,68.0
ciutat meridiana,Barri,2017,76.0
vallbona,Barri,2017,60.0
la trinitat vella,Barri,2017,92.0
baro de viver,Barri,2017,62.0
el bon pastor,Barri,2017,95.0
sant andreu,Barri,2017,123.0
la sagrera,Barri,2017,108.0
el congres i els indians,Barri,2017,114.0
navas,Barri,2017,115.0
el camp de larpa del clot,Barri,2017,130.0
el clot,Barri,2017,124.0
el parc i la llacuna del poblenou,Barri,2017,138.0
la vila olimpica del poblenou,Barri,2017,171.0
el poblenou,Barri,2017,140.0
diagonal mar i el front maritim del poblenou,Barri,2017,160.0
el besos i el maresme,Barri,2017,100.0
provencals del poblenou,Barri,2017,129.0
sant marti de provencals,Barri,2017,109.0
la verneda i la pau,Barri,2017,102.0
el raval,Barri,2018,140.0
el barri gotic,Barri,2018,138.0
la barceloneta,Barri,2018,169.0
sant pere santa caterina i la ribera,Barri,2018,150.0
el fort pienc,Barri,2018,131.0
la sagrada familia,Barri,2018,137.0
la dreta de leixample,Barri,2018,140.0
lantiga esquerra de leixample,Barri,2018,141.0
la nova esquerra de leixample,Barri,2018,139.0
sant antoni,Barri,2018,132.0
el poble sec,Barri,2018,139.0
la marina del prat vermell,Barri,2018,
la marina de port,Barri,2018,106.0
la font de la guatlla,Barri,2018,124.0
hostafrancs,Barri,2018,135.0
la bordeta,Barri,2018,122.0
sants badal,Barri,2018,130.0
sants,Barri,2018,131.0
les corts,Barri,2018,148.0
la maternitat i sant ramon,Barri,2018,136.0
pedralbes,Barri,2018,154.0
vallvidrera el tibidabo i les planes,Barri,2018,119.0
sarria,Barri,2018,172.0
les tres torres,Barri,2018,164.0
sant gervasi la bonanova,Barri,2018,161.0
sant gervasi galvany,Barri,2018,148.0
el putxet i el farro,Barri,2018,146.0
vallcarca i els penitents,Barri,2018,136.0
el coll,Barri,2018,122.0
la salut,Barri,2018,128.0
la vila de gracia,Barri,2018,146.0
el camp den grassot i gracia nova,Barri,2018,138.0
el baix guinardo,Barri,2018,127.0
can baro,Barri,2018,122.0
el guinardo,Barri,2018,121.0
la font den fargues,Barri,2018,121.0
el carmel,Barri,2018,113.0
la teixonera,Barri,2018,121.0
sant genis dels agudells,Barri,2018,97.0
montbau,Barri,2018,110.0
la vall dhebron,Barri,2018,123.0
la clota,Barri,2018,80.0
horta,Barri,2018,118.0
vilapicina i la torre llobeta,Barri,2018,116.0
porta,Barri,2018,114.0
el turo de la peira,Barri,2018,113.0
can peguera,Barri,2018,81.0
la guineueta,Barri,2018,101.0
canyelles,Barri,2018,95.0
les roquetes,Barri,2018,112.0
verdun,Barri,2018,116.0
la prosperitat,Barri,2018,118.0
la trinitat nova,Barri,2018,120.0
torre baro,Barri,2018,82.0
ciutat meridiana,Barri,2018,87.0
vallbona,Barri,2018,95.0
la trinitat vella,Barri,2018,100.0
baro de viver,Barri,2018,75.0
el bon pastor,Barri,2018,108.0
sant andreu,Barri,2018,119.0
la sagrera,Barri,2018,119.0
el congres i els indians,Barri,2018,119.0
navas,Barri,2018,120.0
el camp de larpa del clot,Barri,2018,130.0
el clot,Barri,2018,126.0
el parc i la llacuna del poblenou,Barri,2018,140.0
la vila olimpica del poblenou,Barri,2018,169.0
el poblenou,Barri,2018,145.0
diagonal mar i el front maritim del poblenou,Barri,2018,153.0
el besos i el maresme,Barri,2018,109.0
provencals del poblenou,Barri,2018,136.0
sant marti de provencals,Barri,2018,115.0
la verneda i la pau,Barri,2018,112.0
el raval,Barri,2019,143.0
el barri gotic,Barri,2019,143.0
la barceloneta,Barri,2019,174.0
sant pere santa caterina i la ribera,Barri,2019,152.0
el fort pienc,Barri,2019,140.0
la sagrada familia,Barri,2019,145.0
la dreta de leixample,Barri,2019,144.0
lantiga esquerra de leixample,Barri,2019,145.0
la nova esquerra de leixample,Barri,2019,145.0
sant antoni,Barri,2019,138.0
el poble sec,Barri,2019,144.0
la marina del prat vermell,Barri,2019,71.0
la marina de port,Barri,2019,108.0
la font de la guatlla,Barri,2019,128.0
hostafrancs,Barri,2019,138.0
la bordeta,Barri,2019,128.0
sants badal,Barri,2019,138.0
sants,Barri,2019,138.0
les corts,Barri,2019,151.0
la maternitat i sant ramon,Barri,2019,144.0
pedralbes,Barri,2019,157.0
vallvidrera el tibidabo i les planes,Barri,2019,139.0
sarria,Barri,2019,169.0
les tres torres,Barri,2019,170.0
sant gervasi la bonanova,Barri,2019,160.0
sant gervasi galvany,Barri,2019,153.0
el putxet i el farro,Barri,2019,150.0
vallcarca i els penitents,Barri,2019,140.0
el coll,Barri,2019,127.0
la salut,Barri,2019,131.0
la vila de gracia,Barri,2019,151.0
el camp den grassot i gracia nova,Barri,2019,147.0
el baix guinardo,Barri,2019,135.0
can baro,Barri,2019,134.0
el guinardo,Barri,2019,129.0
la font den fargues,Barri,2019,128.0
el carmel,Barri,2019,121.0
la teixonera,Barri,2019,126.0
sant genis dels agudells,Barri,2019,106.0
montbau,Barri,2019,119.0
la vall dhebron,Barri,2019,133.0
la clota,Barri,2019,114.0
horta,Barri,2019,125.0
vilapicina i la torre llobeta,Barri,2019,122.0
porta,Barri,2019,123.0
el turo de la peira,Barri,2019,117.0
can peguera,Barri,2019,119.0
la guineueta,Barri,2019,105.0
canyelles,Barri,2019,95.0
les roquetes,Barri,2019,112.0
verdun,Barri,2019,121.0
la prosperitat,Barri,2019,120.0
la trinitat nova,Barri,2019,121.0
torre baro,Barri,2019,75.0
ciutat meridiana,Barri,2019,97.0
vallbona,Barri,2019,81.0
la trinitat vella,Barri,2019,101.0
baro de viver,Barri,2019,65.0
el bon pastor,Barri,2019,105.0
sant andreu,Barri,2019,125.0
la sagrera,Barri,2019,126.0
el congres i els indians,Barri,2019,121.0
navas,Barri,2019,124.0
el camp de larpa del clot,Barri,2019,135.0
el clot,Barri,2019,132.0
el parc i la llacuna del poblenou,Barri,2019,150.0
la vila olimpica del poblenou,Barri,2019,175.0
el poblenou,Barri,2019,151.0
diagonal mar i el front maritim del poblenou,Barri,2019,173.0
el besos i el maresme,Barri,2019,113.0
provencals del poblenou,Barri,2019,141.0
sant marti de provencals,Barri,2019,119.0
la verneda i la pau,Barri,2019,115.0
el raval,Barri,2020,140.0
el barri gotic,Barri,2020,136.0
la barceloneta,Barri,2020,173.0
sant pere santa caterina i la ribera,Barri,2020,146.0
el fort pienc,Barri,2020,139.0
la sagrada familia,Barri,2020,143.0
la dreta de leixample,Barri,2020,142.0
lantiga esquerra de leixample,Barri,2020,143.0
la nova esquerra de leixample,Barri,2020,144.0
sant antoni,Barri,2020,139.0
el poble sec,Barri,2020,143.0
la marina del prat vermell,Barri,2020,
la marina de port,Barri,2020,111.0
la font de la guatlla,Barri,2020,133.0
hostafrancs,Barri,2020,140.0
la bordeta,Barri,2020,130.0
sants badal,Barri,2020,138.0
sants,Barri,2020,139.0
les corts,Barri,2020,149.0
la maternitat i sant ramon,Barri,2020,140.0
pedralbes,Barri,2020,155.0
vallvidrera el tibidabo i les planes,Barri,2020,125.0
sarria,Barri,2020,170.0
les tres torres,Barri,2020,165.0
sant gervasi la bonanova,Barri,2020,153.0
sant gervasi galvany,Barri,2020,153.0
el putxet i el farro,Barri,2020,151.0
vallcarca i els penitents,Barri,2020,144.0
el coll,Barri,2020,122.0
la salut,Barri,2020,136.0
la vila de gracia,Barri,2020,149.0
el camp den grassot i gracia nova,Barri,2020,141.0
el baix guinardo,Barri,2020,138.0
can baro,Barri,2020,129.0
el guinardo,Barri,2020,132.0
la font den fargues,Barri,2020,129.0
el carmel,Barri,2020,120.0
la teixonera,Barri,2020,121.0
sant genis dels agudells,Barri,2020,106.0
montbau,Barri,2020,119.0
la vall dhebron,Barri,2020,122.0
la clota,Barri,2020,114.0
horta,Barri,2020,126.0
vilapicina i la torre llobeta,Barri,2020,123.0
porta,Barri,2020,121.0
el turo de la peira,Barri,2020,116.0
can peguera,Barri,2020,
la guineueta,Barri,2020,106.0
canyelles,Barri,2020,97.0
les roquetes,Barri,2020,116.0
verdun,Barri,2020,120.0
la prosperitat,Barri,2020,124.0
la trinitat nova,Barri,2020,118.0
torre baro,Barri,2020,88.0
ciutat meridiana,Barri,2020,92.0
vallbona,Barri,2020,79.0
la trinitat vella,Barri,2020,109.0
baro de viver,Barri,2020,75.0
el bon pastor,Barri,2020,119.0
sant andreu,Barri,2020,125.0
la sagrera,Barri,2020,124.0
el congres i els indians,Barri,2020,125.0
navas,Barri,2020,127.0
el camp de larpa del clot,Barri,2020,136.0
el clot,Barri,2020,133.0
el parc i la llacuna del poblenou,Barri,2020,143.0
la vila olimpica del poblenou,Barri,2020,177.0
el poblenou,Barri,2020,149.0
diagonal mar i el front maritim del poblenou,Barri,2020,167.0
el besos i el maresme,Barri,2020,119.0
provencals del poblenou,Barri,2020,140.0
sant marti de provencals,Barri,2020,118.0
la verneda i la pau,Barri,2020,115.0
el raval,Barri,2021,129.0
el barri gotic,Barri,2021,126.0
la barceloneta,Barri,2021,160.0
sant pere santa caterina i la ribera,Barri,2021,136.0
el fort pienc,Barri,2021,130.0
la sagrada familia,Barri,2021,136.0
la dreta de leixample,Barri,2021,131.0
lantiga esquerra de leixample,Barri,2021,137.0
la nova esquerra de leixample,Barri,2021,134.0
sant antoni,Barri,2021,130.0
el poble sec,Barri,2021,136.0
la marina del prat vermell,Barri,2021,59.0
la marina de port,Barri,2021,107.0
la font de la guatlla,Barri,2021,128.0
hostafrancs,Barri,2021,131.0
la bordeta,Barri,2021,123.0
sants badal,Barri,2021,132.0
sants,Barri,2021,131.0
les corts,Barri,2021,141.0
la maternitat i sant ramon,Barri,2021,130.0
pedralbes,Barri,2021,151.0
vallvidrera el tibidabo i les planes,Barri,2021,153.0
sarria,Barri,2021,159.0
les tres torres,Barri,2021,157.0
sant gervasi la bonanova,Barri,2021,151.0
sant gervasi galvany,Barri,2021,145.0
el putxet i el farro,Barri,2021,143.0
vallcarca i els penitents,Barri,2021,137.0
el coll,Barri,2021,127.0
la salut,Barri,2021,126.0
la vila de gracia,Barri,2021,141.0
el camp den grassot i gracia nova,Barri,2021,137.0
el baix guinardo,Barri,2021,126.0
can baro,Barri,2021,125.0
el guinardo,Barri,2021,126.0
la font den fargues,Barri,2021,121.0
el carmel,Barri,2021,118.0
la teixonera,Barri,2021,122.0
sant genis dels agudells,Barri,2021,103.0
montbau,Barri,2021,112.0
la vall dhebron,Barri,2021,127.0
la clota,Barri,2021,121.0
horta,Barri,2021,119.0
vilapicina i la torre llobeta,Barri,2021,116.0
porta,Barri,2021,115.0
el turo de la peira,Barri,2021,113.0
can peguera,Barri,2021,
la guineueta,Barri,2021,97.0
canyelles,Barri,2021,94.0
les roquetes,Barri,2021,113.0
verdun,Barri,2021,123.0
la prosperitat,Barri,2021,118.0
la trinitat nova,Barri,2021,116.0
torre baro,Barri,2021,88.0
ciutat meridiana,Barri,2021,89.0
vallbona,Barri,2021,60.0
la trinitat vella,Barri,2021,103.0
baro de viver,Barri,2021,80.0
el bon pastor,Barri,2021,108.0
sant andreu,Barri,2021,119.0
la sagrera,Barri,2021,120.0
el congres i els indians,Barri,2021,117.0
navas,Barri,2021,119.0
el camp de larpa del clot,Barri,2021,130.0
el clot,Barri,2021,129.0
el parc i la llacuna del poblenou,Barri,2021,143.0
la vila olimpica del poblenou,Barri,2021,168.0
el poblenou,Barri,2021,143.0
diagonal mar i el front maritim del poblenou,Barri,2021,157.0
el besos i el maresme,Barri,2021,113.0
provencals del poblenou,Barri,2021,135.0
sant marti de provencals,Barri,2021,115.0
la verneda i la pau,Barri,2021,111.0
el raval,Barri,2022,152.0
el barri gotic,Barri,2022,156.0
la barceloneta,Barri,2022,188.0
sant pere santa caterina i la ribera,Barri,2022,160.0
el fort pienc,Barri,2022,144.0
la sagrada familia,Barri,2022,153.0
la dreta de leixample,Barri,2022,150.0
lantiga esquerra de leixample,Barri,2022,152.0
la nova esquerra de leixample,Barri,2022,149.0
sant antoni,Barri,2022,144.0
el poble sec,Barri,2022,152.0
la marina del prat vermell,Barri,2022,72.0
la marina de port,Barri,2022,106.0
la font de la guatlla,Barri,2022,141.0
hostafrancs,Barri,2022,142.0
la bordeta,Barri,2022,134.0
sants badal,Barri,2022,144.0
sants,Barri,2022,142.0
les corts,Barri,2022,154.0
la maternitat i sant ramon,Barri,2022,148.0
pedralbes,Barri,2022,153.0
vallvidrera el tibidabo i les planes,Barri,2022,136.0
sarria,Barri,2022,182.0
les tres torres,Barri,2022,179.0
sant gervasi la bonanova,Barri,2022,158.0
sant gervasi galvany,Barri,2022,157.0
el putxet i el farro,Barri,2022,158.0
vallcarca i els penitents,Barri,2022,147.0
el coll,Barri,2022,129.0
la salut,Barri,2022,135.0
la vila de gracia,Barri,2022,160.0
el camp den grassot i gracia nova,Barri,2022,151.0
el baix guinardo,Barri,2022,140.0
can baro,Barri,2022,137.0
el guinardo,Barri,2022,134.0
la font den fargues,Barri,2022,135.0
el carmel,Barri,2022,127.0
la teixonera,Barri,2022,132.0
sant genis dels agudells,Barri,2022,108.0
montbau,Barri,2022,119.0
la vall dhebron,Barri,2022,137.0
la clota,Barri,2022,
horta,Barri,2022,124.0
vilapicina i la torre llobeta,Barri,2022,128.0
porta,Barri,2022,123.0
el turo de la peira,Barri,2022,119.0
can peguera,Barri,2022,
la guineueta,Barri,2022,108.0
canyelles,Barri,2022,97.0
les roquetes,Barri,2022,122.0
verdun,Barri,2022,120.0
la prosperitat,Barri,2022,126.0
la trinitat nova,Barri,2022,128.0
torre baro,Barri,2022,104.0
