territori,tipus_de_territori,nacionalitat_espanya_ue_resta_estranger,any,poblacio
el raval,Barri,Espanya,1997,31117.0
el raval,Barri,Resta de la Unió Europea,1997,249.0
el raval,Barri,Resta del món,1997,2730.0
el raval,Barri,No consta,1997,
el barri gotic,Barri,Espanya,1997,12675.0
el barri gotic,Barri,Resta de la Unió Europea,1997,189.0
el barri gotic,Barri,Resta del món,1997,699.0
el barri gotic,Barri,No consta,1997,
la barceloneta,Barri,Espanya,1997,14378.0
la barceloneta,Barri,Resta de la Unió Europea,1997,35.0
la barceloneta,Barri,Resta del món,1997,351.0
la barceloneta,Barri,No consta,1997,
sant pere santa caterina i la ribera,Barri,Espanya,1997,18409.0
sant pere santa caterina i la ribera,Barri,Resta de la Unió Europea,1997,217.0
sant pere santa caterina i la ribera,Barri,Resta del món,1997,1216.0
sant pere santa caterina i la ribera,Barri,No consta,1997,
el fort pienc,Barri,Espanya,1997,27577.0
el fort pienc,Barri,Resta de la Unió Europea,1997,160.0
el fort pienc,Barri,Resta del món,1997,397.0
el fort pienc,Barri,No consta,1997,5.0
la sagrada familia,Barri,Espanya,1997,47764.0
la sagrada familia,Barri,Resta de la Unió Europea,1997,169.0
la sagrada familia,Barri,Resta del món,1997,540.0
la sagrada familia,Barri,No consta,1997,8.0
la dreta de leixample,Barri,Espanya,1997,38277.0
la dreta de leixample,Barri,Resta de la Unió Europea,1997,340.0
la dreta de leixample,Barri,Resta del món,1997,498.0
la dreta de leixample,Barri,No consta,1997,
lantiga esquerra de leixample,Barri,Espanya,1997,38201.0
lantiga esquerra de leixample,Barri,Resta de la Unió Europea,1997,303.0
lantiga esquerra de leixample,Barri,Resta del món,1997,669.0
lantiga esquerra de leixample,Barri,No consta,1997,
la nova esquerra de leixample,Barri,Espanya,1997,53972.0
la nova esquerra de leixample,Barri,Resta de la Unió Europea,1997,309.0
la nova esquerra de leixample,Barri,Resta del món,1997,859.0
la nova esquerra de leixample,Barri,No consta,1997,
sant antoni,Barri,Espanya,1997,35352.0
sant antoni,Barri,Resta de la Unió Europea,1997,159.0
sant antoni,Barri,Resta del món,1997,492.0
sant antoni,Barri,No consta,1997,5.0
el poble sec,Barri,Espanya,1997,33022.0
el poble sec,Barri,Resta de la Unió Europea,1997,106.0
el poble sec,Barri,Resta del món,1997,650.0
el poble sec,Barri,No consta,1997,
la marina del prat vermell,Barri,Espanya,1997,1799.0
la marina del prat vermell,Barri,Resta de la Unió Europea,1997,
la marina del prat vermell,Barri,Resta del món,1997,8.0
la marina del prat vermell,Barri,No consta,1997,
la marina de port,Barri,Espanya,1997,26816.0
la marina de port,Barri,Resta de la Unió Europea,1997,47.0
la marina de port,Barri,Resta del món,1997,221.0
la marina de port,Barri,No consta,1997,
la font de la guatlla,Barri,Espanya,1997,8887.0
la font de la guatlla,Barri,Resta de la Unió Europea,1997,37.0
la font de la guatlla,Barri,Resta del món,1997,114.0
la font de la guatlla,Barri,No consta,1997,
hostafrancs,Barri,Espanya,1997,14324.0
hostafrancs,Barri,Resta de la Unió Europea,1997,55.0
hostafrancs,Barri,Resta del món,1997,273.0
hostafrancs,Barri,No consta,1997,
la bordeta,Barri,Espanya,1997,17048.0
la bordeta,Barri,Resta de la Unió Europea,1997,38.0
la bordeta,Barri,Resta del món,1997,202.0
la bordeta,Barri,No consta,1997,
sants badal,Barri,Espanya,1997,23334.0
sants badal,Barri,Resta de la Unió Europea,1997,55.0
sants badal,Barri,Resta del món,1997,265.0
sants badal,Barri,No consta,1997,
sants,Barri,Espanya,1997,37761.0
sants,Barri,Resta de la Unió Europea,1997,109.0
sants,Barri,Resta del món,1997,434.0
sants,Barri,No consta,1997,
les corts,Barri,Espanya,1997,45113.0
les corts,Barri,Resta de la Unió Europea,1997,311.0
les corts,Barri,Resta del món,1997,451.0
les corts,Barri,No consta,1997,7.0
la maternitat i sant ramon,Barri,Espanya,1997,24089.0
la maternitat i sant ramon,Barri,Resta de la Unió Europea,1997,131.0
la maternitat i sant ramon,Barri,Resta del món,1997,234.0
la maternitat i sant ramon,Barri,No consta,1997,
pedralbes,Barri,Espanya,1997,10395.0
pedralbes,Barri,Resta de la Unió Europea,1997,276.0
pedralbes,Barri,Resta del món,1997,231.0
pedralbes,Barri,No consta,1997,
vallvidrera el tibidabo i les planes,Barri,Espanya,1997,2927.0
vallvidrera el tibidabo i les planes,Barri,Resta de la Unió Europea,1997,72.0
vallvidrera el tibidabo i les planes,Barri,Resta del món,1997,34.0
vallvidrera el tibidabo i les planes,Barri,No consta,1997,
sarria,Barri,Espanya,1997,20015.0
sarria,Barri,Resta de la Unió Europea,1997,320.0
sarria,Barri,Resta del món,1997,224.0
sarria,Barri,No consta,1997,
les tres torres,Barri,Espanya,1997,12826.0
les tres torres,Barri,Resta de la Unió Europea,1997,231.0
les tres torres,Barri,Resta del món,1997,149.0
les tres torres,Barri,No consta,1997,
sant gervasi la bonanova,Barri,Espanya,1997,21184.0
sant gervasi la bonanova,Barri,Resta de la Unió Europea,1997,318.0
sant gervasi la bonanova,Barri,Resta del món,1997,234.0
sant gervasi la bonanova,Barri,No consta,1997,
sant gervasi galvany,Barri,Espanya,1997,42318.0
sant gervasi galvany,Barri,Resta de la Unió Europea,1997,600.0
sant gervasi galvany,Barri,Resta del món,1997,675.0
sant gervasi galvany,Barri,No consta,1997,
el putxet i el farro,Barri,Espanya,1997,25715.0
el putxet i el farro,Barri,Resta de la Unió Europea,1997,324.0
el putxet i el farro,Barri,Resta del món,1997,352.0
el putxet i el farro,Barri,No consta,1997,
vallcarca i els penitents,Barri,Espanya,1997,14015.0
vallcarca i els penitents,Barri,Resta de la Unió Europea,1997,149.0
vallcarca i els penitents,Barri,Resta del món,1997,124.0
vallcarca i els penitents,Barri,No consta,1997,
el coll,Barri,Espanya,1997,6557.0
el coll,Barri,Resta de la Unió Europea,1997,49.0
el coll,Barri,Resta del món,1997,52.0
el coll,Barri,No consta,1997,
la salut,Barri,Espanya,1997,12643.0
la salut,Barri,Resta de la Unió Europea,1997,97.0
la salut,Barri,Resta del món,1997,118.0
la salut,Barri,No consta,1997,
la vila de gracia,Barri,Espanya,1997,45991.0
la vila de gracia,Barri,Resta de la Unió Europea,1997,334.0
la vila de gracia,Barri,Resta del món,1997,620.0
la vila de gracia,Barri,No consta,1997,6.0
el camp den grassot i gracia nova,Barri,Espanya,1997,33226.0
el camp den grassot i gracia nova,Barri,Resta de la Unió Europea,1997,158.0
el camp den grassot i gracia nova,Barri,Resta del món,1997,270.0
el camp den grassot i gracia nova,Barri,No consta,1997,
el baix guinardo,Barri,Espanya,1997,24711.0
el baix guinardo,Barri,Resta de la Unió Europea,1997,88.0
el baix guinardo,Barri,Resta del món,1997,228.0
el baix guinardo,Barri,No consta,1997,
can baro,Barri,Espanya,1997,8767.0
can baro,Barri,Resta de la Unió Europea,1997,29.0
can baro,Barri,Resta del món,1997,72.0
can baro,Barri,No consta,1997,
el guinardo,Barri,Espanya,1997,34152.0
el guinardo,Barri,Resta de la Unió Europea,1997,127.0
el guinardo,Barri,Resta del món,1997,272.0
el guinardo,Barri,No consta,1997,
la font den fargues,Barri,Espanya,1997,9761.0
la font den fargues,Barri,Resta de la Unió Europea,1997,34.0
la font den fargues,Barri,Resta del món,1997,15.0
la font den fargues,Barri,No consta,1997,
el carmel,Barri,Espanya,1997,33580.0
el carmel,Barri,Resta de la Unió Europea,1997,45.0
el carmel,Barri,Resta del món,1997,196.0
el carmel,Barri,No consta,1997,
la teixonera,Barri,Espanya,1997,11221.0
la teixonera,Barri,Resta de la Unió Europea,1997,18.0
la teixonera,Barri,Resta del món,1997,97.0
la teixonera,Barri,No consta,1997,
sant genis dels agudells,Barri,Espanya,1997,7110.0
sant genis dels agudells,Barri,Resta de la Unió Europea,1997,31.0
sant genis dels agudells,Barri,Resta del món,1997,65.0
sant genis dels agudells,Barri,No consta,1997,
montbau,Barri,Espanya,1997,5251.0
montbau,Barri,Resta de la Unió Europea,1997,8.0
montbau,Barri,Resta del món,1997,22.0
montbau,Barri,No consta,1997,
la vall dhebron,Barri,Espanya,1997,5373.0
la vall dhebron,Barri,Resta de la Unió Europea,1997,19.0
la vall dhebron,Barri,Resta del món,1997,54.0
la vall dhebron,Barri,No consta,1997,
la clota,Barri,Espanya,1997,443.0
la clota,Barri,Resta de la Unió Europea,1997,
la clota,Barri,Resta del món,1997,
horta,Barri,Espanya,1997,26342.0
horta,Barri,Resta de la Unió Europea,1997,47.0
horta,Barri,Resta del món,1997,92.0
horta,Barri,No consta,1997,
vilapicina i la torre llobeta,Barri,Espanya,1997,24674.0
vilapicina i la torre llobeta,Barri,Resta de la Unió Europea,1997,48.0
vilapicina i la torre llobeta,Barri,Resta del món,1997,143.0
vilapicina i la torre llobeta,Barri,No consta,1997,
porta,Barri,Espanya,1997,23953.0
porta,Barri,Resta de la Unió Europea,1997,45.0
porta,Barri,Resta del món,1997,162.0
porta,Barri,No consta,1997,
el turo de la peira,Barri,Espanya,1997,14712.0
el turo de la peira,Barri,Resta de la Unió Europea,1997,20.0
el turo de la peira,Barri,Resta del món,1997,106.0
el turo de la peira,Barri,No consta,1997,
can peguera,Barri,Espanya,1997,2256.0
can peguera,Barri,Resta de la Unió Europea,1997,
can peguera,Barri,Resta del món,1997,18.0
la guineueta,Barri,Espanya,1997,17081.0
la guineueta,Barri,Resta de la Unió Europea,1997,19.0
la guineueta,Barri,Resta del món,1997,54.0
la guineueta,Barri,No consta,1997,
canyelles,Barri,Espanya,1997,8719.0
canyelles,Barri,Resta de la Unió Europea,1997,11.0
canyelles,Barri,Resta del món,1997,14.0
canyelles,Barri,No consta,1997,
les roquetes,Barri,Espanya,1997,15508.0
les roquetes,Barri,Resta de la Unió Europea,1997,21.0
les roquetes,Barri,Resta del món,1997,107.0
les roquetes,Barri,No consta,1997,
verdun,Barri,Espanya,1997,12795.0
verdun,Barri,Resta de la Unió Europea,1997,23.0
verdun,Barri,Resta del món,1997,101.0
verdun,Barri,No consta,1997,
la prosperitat,Barri,Espanya,1997,27757.0
la prosperitat,Barri,Resta de la Unió Europea,1997,32.0
la prosperitat,Barri,Resta del món,1997,110.0
la prosperitat,Barri,No consta,1997,
la trinitat nova,Barri,Espanya,1997,7567.0
la trinitat nova,Barri,Resta de la Unió Europea,1997,8.0
la trinitat nova,Barri,Resta del món,1997,19.0
la trinitat nova,Barri,No consta,1997,
torre baro,Barri,Espanya,1997,2343.0
torre baro,Barri,Resta de la Unió Europea,1997,11.0
torre baro,Barri,Resta del món,1997,14.0
torre baro,Barri,No consta,1997,
ciutat meridiana,Barri,Espanya,1997,9787.0
ciutat meridiana,Barri,Resta de la Unió Europea,1997,18.0
ciutat meridiana,Barri,Resta del món,1997,18.0
ciutat meridiana,Barri,No consta,1997,
vallbona,Barri,Espanya,1997,712.0
vallbona,Barri,Resta de la Unió Europea,1997,
vallbona,Barri,Resta del món,1997,
vallbona,Barri,No consta,1997,
la trinitat vella,Barri,Espanya,1997,7632.0
la trinitat vella,Barri,Resta de la Unió Europea,1997,
la trinitat vella,Barri,Resta del món,1997,168.0
la trinitat vella,Barri,No consta,1997,
baro de viver,Barri,Espanya,1997,2291.0
baro de viver,Barri,Resta de la Unió Europea,1997,
baro de viver,Barri,Resta del món,1997,5.0
baro de viver,Barri,No consta,1997,
el bon pastor,Barri,Espanya,1997,10023.0
el bon pastor,Barri,Resta de la Unió Europea,1997,10.0
el bon pastor,Barri,Resta del món,1997,27.0
el bon pastor,Barri,No consta,1997,
sant andreu,Barri,Espanya,1997,51342.0
sant andreu,Barri,Resta de la Unió Europea,1997,80.0
sant andreu,Barri,Resta del món,1997,272.0
sant andreu,Barri,No consta,1997,
la sagrera,Barri,Espanya,1997,27648.0
la sagrera,Barri,Resta de la Unió Europea,1997,46.0
la sagrera,Barri,Resta del món,1997,310.0
la sagrera,Barri,No consta,1997,
el congres i els indians,Barri,Espanya,1997,13612.0
el congres i els indians,Barri,Resta de la Unió Europea,1997,29.0
el congres i els indians,Barri,Resta del món,1997,77.0
el congres i els indians,Barri,No consta,1997,
navas,Barri,Espanya,1997,20771.0
navas,Barri,Resta de la Unió Europea,1997,47.0
navas,Barri,Resta del món,1997,157.0
navas,Barri,No consta,1997,
el camp de larpa del clot,Barri,Espanya,1997,35971.0
el camp de larpa del clot,Barri,Resta de la Unió Europea,1997,115.0
el camp de larpa del clot,Barri,Resta del món,1997,446.0
el camp de larpa del clot,Barri,No consta,1997,
el clot,Barri,Espanya,1997,22679.0
el clot,Barri,Resta de la Unió Europea,1997,68.0
el clot,Barri,Resta del món,1997,225.0
el clot,Barri,No consta,1997,
el parc i la llacuna del poblenou,Barri,Espanya,1997,12058.0
el parc i la llacuna del poblenou,Barri,Resta de la Unió Europea,1997,54.0
el parc i la llacuna del poblenou,Barri,Resta del món,1997,222.0
el parc i la llacuna del poblenou,Barri,No consta,1997,
la vila olimpica del poblenou,Barri,Espanya,1997,5772.0
la vila olimpica del poblenou,Barri,Resta de la Unió Europea,1997,105.0
la vila olimpica del poblenou,Barri,Resta del món,1997,118.0
la vila olimpica del poblenou,Barri,No consta,1997,7.0
el poblenou,Barri,Espanya,1997,23572.0
el poblenou,Barri,Resta de la Unió Europea,1997,52.0
el poblenou,Barri,Resta del món,1997,209.0
el poblenou,Barri,No consta,1997,
diagonal mar i el front maritim del poblenou,Barri,Espanya,1997,4113.0
diagonal mar i el front maritim del poblenou,Barri,Resta de la Unió Europea,1997,6.0
diagonal mar i el front maritim del poblenou,Barri,Resta del món,1997,30.0
diagonal mar i el front maritim del poblenou,Barri,No consta,1997,
el besos i el maresme,Barri,Espanya,1997,21402.0
el besos i el maresme,Barri,Resta de la Unió Europea,1997,27.0
el besos i el maresme,Barri,Resta del món,1997,111.0
el besos i el maresme,Barri,No consta,1997,
provencals del poblenou,Barri,Espanya,1997,16700.0
provencals del poblenou,Barri,Resta de la Unió Europea,1997,36.0
provencals del poblenou,Barri,Resta del món,1997,132.0
provencals del poblenou,Barri,No consta,1997,
sant marti de provencals,Barri,Espanya,1997,27204.0
sant marti de provencals,Barri,Resta de la Unió Europea,1997,40.0
sant marti de provencals,Barri,Resta del món,1997,114.0
sant marti de provencals,Barri,No consta,1997,
la verneda i la pau,Barri,Espanya,1997,31971.0
la verneda i la pau,Barri,Resta de la Unió Europea,1997,37.0
la verneda i la pau,Barri,Resta del món,1997,114.0
la verneda i la pau,Barri,No consta,1997,
el raval,Barri,Espanya,1998,31302.0
el raval,Barri,Resta de la Unió Europea,1998,309.0
el raval,Barri,Resta del món,1998,3531.0
el raval,Barri,No consta,1998,
el barri gotic,Barri,Espanya,1998,12986.0
el barri gotic,Barri,Resta de la Unió Europea,1998,246.0
el barri gotic,Barri,Resta del món,1998,890.0
el barri gotic,Barri,No consta,1998,5.0
la barceloneta,Barri,Espanya,1998,14425.0
la barceloneta,Barri,Resta de la Unió Europea,1998,47.0
la barceloneta,Barri,Resta del món,1998,438.0
la barceloneta,Barri,No consta,1998,
sant pere santa caterina i la ribera,Barri,Espanya,1998,18401.0
sant pere santa caterina i la ribera,Barri,Resta de la Unió Europea,1998,289.0
sant pere santa caterina i la ribera,Barri,Resta del món,1998,1434.0
sant pere santa caterina i la ribera,Barri,No consta,1998,
el fort pienc,Barri,Espanya,1998,27623.0
el fort pienc,Barri,Resta de la Unió Europea,1998,183.0
el fort pienc,Barri,Resta del món,1998,460.0
el fort pienc,Barri,No consta,1998,6.0
la sagrada familia,Barri,Espanya,1998,48001.0
la sagrada familia,Barri,Resta de la Unió Europea,1998,201.0
la sagrada familia,Barri,Resta del món,1998,702.0
la sagrada familia,Barri,No consta,1998,10.0
la dreta de leixample,Barri,Espanya,1998,38494.0
la dreta de leixample,Barri,Resta de la Unió Europea,1998,403.0
la dreta de leixample,Barri,Resta del món,1998,617.0
la dreta de leixample,Barri,No consta,1998,5.0
lantiga esquerra de leixample,Barri,Espanya,1998,38389.0
lantiga esquerra de leixample,Barri,Resta de la Unió Europea,1998,339.0
lantiga esquerra de leixample,Barri,Resta del món,1998,854.0
lantiga esquerra de leixample,Barri,No consta,1998,
la nova esquerra de leixample,Barri,Espanya,1998,53920.0
la nova esquerra de leixample,Barri,Resta de la Unió Europea,1998,360.0
la nova esquerra de leixample,Barri,Resta del món,1998,1001.0
la nova esquerra de leixample,Barri,No consta,1998,
sant antoni,Barri,Espanya,1998,35476.0
sant antoni,Barri,Resta de la Unió Europea,1998,190.0
sant antoni,Barri,Resta del món,1998,629.0
sant antoni,Barri,No consta,1998,
el poble sec,Barri,Espanya,1998,33169.0
el poble sec,Barri,Resta de la Unió Europea,1998,143.0
el poble sec,Barri,Resta del món,1998,907.0
el poble sec,Barri,No consta,1998,
la marina del prat vermell,Barri,Espanya,1998,1754.0
la marina del prat vermell,Barri,Resta de la Unió Europea,1998,
la marina del prat vermell,Barri,Resta del món,1998,7.0
la marina del prat vermell,Barri,No consta,1998,
la marina de port,Barri,Espanya,1998,27107.0
la marina de port,Barri,Resta de la Unió Europea,1998,52.0
la marina de port,Barri,Resta del món,1998,254.0
la marina de port,Barri,No consta,1998,
la font de la guatlla,Barri,Espanya,1998,9104.0
la font de la guatlla,Barri,Resta de la Unió Europea,1998,36.0
la font de la guatlla,Barri,Resta del món,1998,137.0
la font de la guatlla,Barri,No consta,1998,
hostafrancs,Barri,Espanya,1998,14389.0
hostafrancs,Barri,Resta de la Unió Europea,1998,66.0
hostafrancs,Barri,Resta del món,1998,348.0
hostafrancs,Barri,No consta,1998,
la bordeta,Barri,Espanya,1998,17280.0
la bordeta,Barri,Resta de la Unió Europea,1998,39.0
la bordeta,Barri,Resta del món,1998,249.0
la bordeta,Barri,No consta,1998,
sants badal,Barri,Espanya,1998,23385.0
sants badal,Barri,Resta de la Unió Europea,1998,66.0
sants badal,Barri,Resta del món,1998,349.0
sants badal,Barri,No consta,1998,
sants,Barri,Espanya,1998,37724.0
sants,Barri,Resta de la Unió Europea,1998,137.0
sants,Barri,Resta del món,1998,588.0
sants,Barri,No consta,1998,
les corts,Barri,Espanya,1998,45678.0
les corts,Barri,Resta de la Unió Europea,1998,346.0
les corts,Barri,Resta del món,1998,561.0
les corts,Barri,No consta,1998,10.0
la maternitat i sant ramon,Barri,Espanya,1998,24157.0
la maternitat i sant ramon,Barri,Resta de la Unió Europea,1998,149.0
la maternitat i sant ramon,Barri,Resta del món,1998,275.0
la maternitat i sant ramon,Barri,No consta,1998,
pedralbes,Barri,Espanya,1998,10596.0
pedralbes,Barri,Resta de la Unió Europea,1998,305.0
pedralbes,Barri,Resta del món,1998,282.0
pedralbes,Barri,No consta,1998,
vallvidrera el tibidabo i les planes,Barri,Espanya,1998,3057.0
vallvidrera el tibidabo i les planes,Barri,Resta de la Unió Europea,1998,72.0
vallvidrera el tibidabo i les planes,Barri,Resta del món,1998,42.0
vallvidrera el tibidabo i les planes,Barri,No consta,1998,
sarria,Barri,Espanya,1998,20454.0
sarria,Barri,Resta de la Unió Europea,1998,384.0
sarria,Barri,Resta del món,1998,276.0
sarria,Barri,No consta,1998,
les tres torres,Barri,Espanya,1998,13082.0
les tres torres,Barri,Resta de la Unió Europea,1998,260.0
les tres torres,Barri,Resta del món,1998,163.0
les tres torres,Barri,No consta,1998,
sant gervasi la bonanova,Barri,Espanya,1998,21564.0
sant gervasi la bonanova,Barri,Resta de la Unió Europea,1998,346.0
sant gervasi la bonanova,Barri,Resta del món,1998,231.0
sant gervasi la bonanova,Barri,No consta,1998,
sant gervasi galvany,Barri,Espanya,1998,42503.0
sant gervasi galvany,Barri,Resta de la Unió Europea,1998,650.0
sant gervasi galvany,Barri,Resta del món,1998,765.0
sant gervasi galvany,Barri,No consta,1998,
el putxet i el farro,Barri,Espanya,1998,26176.0
el putxet i el farro,Barri,Resta de la Unió Europea,1998,356.0
el putxet i el farro,Barri,Resta del món,1998,385.0
el putxet i el farro,Barri,No consta,1998,
vallcarca i els penitents,Barri,Espanya,1998,14067.0
vallcarca i els penitents,Barri,Resta de la Unió Europea,1998,155.0
vallcarca i els penitents,Barri,Resta del món,1998,144.0
vallcarca i els penitents,Barri,No consta,1998,
el coll,Barri,Espanya,1998,6560.0
el coll,Barri,Resta de la Unió Europea,1998,49.0
el coll,Barri,Resta del món,1998,64.0
el coll,Barri,No consta,1998,
la salut,Barri,Espanya,1998,12720.0
la salut,Barri,Resta de la Unió Europea,1998,110.0
la salut,Barri,Resta del món,1998,126.0
la salut,Barri,No consta,1998,
la vila de gracia,Barri,Espanya,1998,46040.0
la vila de gracia,Barri,Resta de la Unió Europea,1998,410.0
la vila de gracia,Barri,Resta del món,1998,776.0
la vila de gracia,Barri,No consta,1998,8.0
el camp den grassot i gracia nova,Barri,Espanya,1998,33517.0
el camp den grassot i gracia nova,Barri,Resta de la Unió Europea,1998,170.0
el camp den grassot i gracia nova,Barri,Resta del món,1998,336.0
el camp den grassot i gracia nova,Barri,No consta,1998,
el baix guinardo,Barri,Espanya,1998,24701.0
el baix guinardo,Barri,Resta de la Unió Europea,1998,89.0
el baix guinardo,Barri,Resta del món,1998,315.0
el baix guinardo,Barri,No consta,1998,
can baro,Barri,Espanya,1998,8951.0
can baro,Barri,Resta de la Unió Europea,1998,29.0
can baro,Barri,Resta del món,1998,88.0
can baro,Barri,No consta,1998,
el guinardo,Barri,Espanya,1998,34103.0
el guinardo,Barri,Resta de la Unió Europea,1998,136.0
el guinardo,Barri,Resta del món,1998,344.0
el guinardo,Barri,No consta,1998,
la font den fargues,Barri,Espanya,1998,9801.0
la font den fargues,Barri,Resta de la Unió Europea,1998,38.0
la font den fargues,Barri,Resta del món,1998,20.0
la font den fargues,Barri,No consta,1998,
el carmel,Barri,Espanya,1998,33596.0
el carmel,Barri,Resta de la Unió Europea,1998,48.0
el carmel,Barri,Resta del món,1998,216.0
el carmel,Barri,No consta,1998,
la teixonera,Barri,Espanya,1998,11232.0
la teixonera,Barri,Resta de la Unió Europea,1998,19.0
la teixonera,Barri,Resta del món,1998,128.0
la teixonera,Barri,No consta,1998,
sant genis dels agudells,Barri,Espanya,1998,7087.0
sant genis dels agudells,Barri,Resta de la Unió Europea,1998,28.0
sant genis dels agudells,Barri,Resta del món,1998,72.0
sant genis dels agudells,Barri,No consta,1998,
montbau,Barri,Espanya,1998,5239.0
montbau,Barri,Resta de la Unió Europea,1998,8.0
montbau,Barri,Resta del món,1998,27.0
montbau,Barri,No consta,1998,
la vall dhebron,Barri,Espanya,1998,5407.0
la vall dhebron,Barri,Resta de la Unió Europea,1998,24.0
la vall dhebron,Barri,Resta del món,1998,74.0
la vall dhebron,Barri,No consta,1998,
la clota,Barri,Espanya,1998,450.0
la clota,Barri,Resta de la Unió Europea,1998,
la clota,Barri,Resta del món,1998,11.0
horta,Barri,Espanya,1998,26364.0
horta,Barri,Resta de la Unió Europea,1998,47.0
horta,Barri,Resta del món,1998,118.0
horta,Barri,No consta,1998,
vilapicina i la torre llobeta,Barri,Espanya,1998,24677.0
vilapicina i la torre llobeta,Barri,Resta de la Unió Europea,1998,48.0
vilapicina i la torre llobeta,Barri,Resta del món,1998,205.0
vilapicina i la torre llobeta,Barri,No consta,1998,
porta,Barri,Espanya,1998,23897.0
porta,Barri,Resta de la Unió Europea,1998,57.0
porta,Barri,Resta del món,1998,187.0
porta,Barri,No consta,1998,
el turo de la peira,Barri,Espanya,1998,14571.0
el turo de la peira,Barri,Resta de la Unió Europea,1998,24.0
el turo de la peira,Barri,Resta del món,1998,145.0
el turo de la peira,Barri,No consta,1998,
can peguera,Barri,Espanya,1998,2307.0
can peguera,Barri,Resta de la Unió Europea,1998,
can peguera,Barri,Resta del món,1998,24.0
la guineueta,Barri,Espanya,1998,16931.0
la guineueta,Barri,Resta de la Unió Europea,1998,24.0
la guineueta,Barri,Resta del món,1998,74.0
la guineueta,Barri,No consta,1998,
canyelles,Barri,Espanya,1998,8656.0
canyelles,Barri,Resta de la Unió Europea,1998,12.0
canyelles,Barri,Resta del món,1998,19.0
canyelles,Barri,No consta,1998,
les roquetes,Barri,Espanya,1998,15521.0
les roquetes,Barri,Resta de la Unió Europea,1998,22.0
les roquetes,Barri,Resta del món,1998,133.0
les roquetes,Barri,No consta,1998,
verdun,Barri,Espanya,1998,12688.0
verdun,Barri,Resta de la Unió Europea,1998,24.0
verdun,Barri,Resta del món,1998,124.0
verdun,Barri,No consta,1998,
la prosperitat,Barri,Espanya,1998,27729.0
la prosperitat,Barri,Resta de la Unió Europea,1998,28.0
la prosperitat,Barri,Resta del món,1998,142.0
la prosperitat,Barri,No consta,1998,
la trinitat nova,Barri,Espanya,1998,7750.0
la trinitat nova,Barri,Resta de la Unió Europea,1998,10.0
la trinitat nova,Barri,Resta del món,1998,25.0
la trinitat nova,Barri,No consta,1998,
torre baro,Barri,Espanya,1998,2368.0
torre baro,Barri,Resta de la Unió Europea,1998,11.0
torre baro,Barri,Resta del món,1998,17.0
torre baro,Barri,No consta,1998,
ciutat meridiana,Barri,Espanya,1998,9796.0
ciutat meridiana,Barri,Resta de la Unió Europea,1998,11.0
ciutat meridiana,Barri,Resta del món,1998,28.0
ciutat meridiana,Barri,No consta,1998,
vallbona,Barri,Espanya,1998,784.0
vallbona,Barri,Resta de la Unió Europea,1998,5.0
vallbona,Barri,Resta del món,1998,
vallbona,Barri,No consta,1998,
la trinitat vella,Barri,Espanya,1998,7708.0
la trinitat vella,Barri,Resta de la Unió Europea,1998,
la trinitat vella,Barri,Resta del món,1998,192.0
la trinitat vella,Barri,No consta,1998,
baro de viver,Barri,Espanya,1998,2345.0
baro de viver,Barri,Resta de la Unió Europea,1998,
baro de viver,Barri,Resta del món,1998,8.0
baro de viver,Barri,No consta,1998,
el bon pastor,Barri,Espanya,1998,10088.0
el bon pastor,Barri,Resta de la Unió Europea,1998,9.0
el bon pastor,Barri,Resta del món,1998,33.0
el bon pastor,Barri,No consta,1998,
sant andreu,Barri,Espanya,1998,51634.0
sant andreu,Barri,Resta de la Unió Europea,1998,98.0
sant andreu,Barri,Resta del món,1998,334.0
sant andreu,Barri,No consta,1998,
la sagrera,Barri,Espanya,1998,27604.0
la sagrera,Barri,Resta de la Unió Europea,1998,51.0
la sagrera,Barri,Resta del món,1998,329.0
la sagrera,Barri,No consta,1998,
el congres i els indians,Barri,Espanya,1998,13610.0
el congres i els indians,Barri,Resta de la Unió Europea,1998,34.0
el congres i els indians,Barri,Resta del món,1998,100.0
el congres i els indians,Barri,No consta,1998,
navas,Barri,Espanya,1998,20988.0
navas,Barri,Resta de la Unió Europea,1998,48.0
navas,Barri,Resta del món,1998,206.0
navas,Barri,No consta,1998,
el camp de larpa del clot,Barri,Espanya,1998,36205.0
el camp de larpa del clot,Barri,Resta de la Unió Europea,1998,129.0
el camp de larpa del clot,Barri,Resta del món,1998,548.0
el camp de larpa del clot,Barri,No consta,1998,
el clot,Barri,Espanya,1998,22907.0
el clot,Barri,Resta de la Unió Europea,1998,76.0
el clot,Barri,Resta del món,1998,287.0
el clot,Barri,No consta,1998,
el parc i la llacuna del poblenou,Barri,Espanya,1998,12057.0
el parc i la llacuna del poblenou,Barri,Resta de la Unió Europea,1998,61.0
el parc i la llacuna del poblenou,Barri,Resta del món,1998,272.0
el parc i la llacuna del poblenou,Barri,No consta,1998,
la vila olimpica del poblenou,Barri,Espanya,1998,6157.0
la vila olimpica del poblenou,Barri,Resta de la Unió Europea,1998,116.0
la vila olimpica del poblenou,Barri,Resta del món,1998,142.0
la vila olimpica del poblenou,Barri,No consta,1998,7.0
el poblenou,Barri,Espanya,1998,23835.0
el poblenou,Barri,Resta de la Unió Europea,1998,67.0
el poblenou,Barri,Resta del món,1998,232.0
el poblenou,Barri,No consta,1998,
diagonal mar i el front maritim del poblenou,Barri,Espanya,1998,4120.0
